step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,1356,3.481,0.584305,0.983744,1356,2,339,1356,1356,656.135,167757,168413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168623,369.684,0,0,-178.692,2.5,165.218,0,0,-178.692,3.481,403.114,3.481,705.286,3.481,666.289,0.4905,0.161219,339,82,1,29683.5,0.000284573,9.58689e-09,-6142.07,208079,86845,18940.4,1.89404,3.481,531.062,0,0,-2746.46,5.13017e-09,1.54559e-09,3.481,509.249,0,0,-2654.01,3.481,168910,656.135,0,0,-2654.01,3.481,168413,656.135,0,0,-2653.96,0.00493399,1.21721e-05,2.51555e-05,0,0,0,0,0,0,31.0801,14.611,0,202.865,-506.831,0,0,0,-2655.94,0,0,-2653.96,0,0,-2655.94,0,0.17405,1276,1278,28.582,36.4641,0,8.16165e-17,-3.481,0,0,25.5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,1356,4.462,0.847217,1.34776,1356,2,345,1380,1380,1231.56,166985,168216,0.431764,0.320357,0.0110619,1356,0,1017,0,0,0,0,0,0,0,0,0,0,168413,656.135,0,0,-2653.96,3.481,317.962,0,0,-2653.96,4.462,654.722,4.462,1145.67,4.462,1071.93,1.64638,0.172422,345,84,1,32026,0.000262275,8.18943e-09,-5.24768e-12,210177,86223.2,36095,3.6095,4.462,937.337,0,0,-4914.48,4.66079e-09,1.41204e-09,4.462,935.101,0,0,-4763.68,4.462,168988,1231.56,0,0,-4763.68,4.462,168216,1231.56,0,0,-4763.13,0.0227983,0.000259882,0.000286141,0.0207395,0.000215064,0.000236795,0.0203762,5.48162e-05,6.0355e-05,31.1108,14.553,0,412.961,-786.873,0,0,0,-4766.48,0,0,-4763.13,0,0,-4766.48,0,0.2231,1286,1288,29.662,39.5242,0,-1.51214e-16,-4.462,0,0,22.4758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,1356,5.443,0.861525,1.53041,1356,2,347,1388,1388,1587.97,166256,167844,0.52763,0.344765,0.00368732,1356,1,568,0.00176056,0,0,0,334,568,0.588028,0,0,0,168216,1231.56,0,0,-4763.13,4.462,559.226,0,0,-4763.13,5.443,977.033,5.443,1680.64,5.443,1591.52,3.47188,0.249219,347,89,1,46424.4,0.000418346,9.01134e-09,-7.18617e-12,369163,116553,62846.2,6.28462,5.443,1326.14,0,0,-3487.81,7.68671e-09,2.2458e-09,5.443,1318.63,0,0,-3319.33,5.443,168573,1587.97,0,0,-3319.33,5.443,167844,1587.97,0,0,-3319.61,0.0396497,0.000786049,0.000671223,0.0407227,0.00082917,0.000708045,0.0415361,1.16507e-05,9.94874e-06,31.1405,14.4983,0,398.719,-745.131,0,0,0,-3328.28,0,0,-3319.61,0,0,-3328.28,0,0.27215,1292,1294,28.2966,42.8705,0,-2.13389e-16,-5.443,0,0,19.1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,1356,6.424,0.739399,1.64634,1356,2,350,1400,1400,1837.68,165630,167468,0.540985,0.328598,0.0140118,1356,1,919,0.00108814,0,0,0,59,523,0.112811,0,0,0,167844,1587.97,0,0,-3319.61,5.443,792.918,0,0,-3319.61,6.424,1204.08,6.424,2147.66,6.424,2036.91,3.44123,0.27702,350,91,1,51825.7,0.0003961,7.64293e-09,-1.75239e-11,321683,134078,72227.5,7.22275,6.424,1747.51,0,0,-1707.6,6.38058e-09,2.11724e-09,6.424,1711.26,0,0,-1595.12,6.424,168094,1837.68,0,0,-1595.12,6.424,167468,1837.68,0,0,-1594.3,0.0328558,0.000539752,0.000398275,0.0439508,0.000965839,0.000712679,0.0188088,4.5712e-07,3.37302e-07,31.1569,14.4512,0,220.277,-640.8,0,0,0,-1608.71,0,0,-1594.3,0,0,-1608.71,0,0.3212,1276,1278,28.582,34.8312,0,-1.18368e-16,-6.424,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,1356,7.405,0.852151,1.90022,1356,2,348,1392,1392,2448.16,164887,167335,0.291504,0.153405,0.000737463,1356,0,463,0,0,0,0,363,463,0.784017,0,0,0,167468,1837.68,0,0,-1594.3,6.424,840.061,0,0,-1594.3,7.405,1210.3,7.405,2312.53,7.405,2240.1,3.16594,0.224347,348,87,1,41851.5,0.000349592,8.35316e-09,-1.02809e-11,214459,104646,27744.1,2.77441,7.405,2077.46,0,0,-2129.81,6.44161e-09,1.87401e-09,7.405,2068.81,0,0,-2099.71,7.405,168078,2448.16,0,0,-2099.71,7.405,167335,2448.16,0,0,-2099.48,0.0399967,0.000799868,0.000443036,0.0318245,0.000506399,0.000280488,0.0015674,2.97666e-05,1.64873e-05,31.1782,14.3953,0,286.269,-760.275,0,0,0,-2113.27,0,0,-2099.48,0,0,-2113.27,0,0.37025,1287,1289,29.4061,38.794,0,-3.02358e-16,-7.405,0,0,23.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,1356,8.386,0.719536,2.06494,1356,2,353,1412,1412,2890.97,164207,167098,0.555466,0.268999,0.0457227,1356,20,781,0.0256082,0,0,0,306,388,0.78866,0,0,0,167335,2448.16,0,0,-2099.48,7.405,1220.05,0,0,-2099.48,8.386,1652.51,8.386,3012.73,8.386,2924.61,3.3792,0.289582,353,92,1,54407.6,0.000449939,8.26979e-09,-1.20883e-11,308230,138316,55970.7,5.59707,8.386,2640.93,0,0,-718.612,8.51791e-09,2.39479e-09,8.386,2548.74,0,0,-722.836,8.386,167778,2890.97,0,0,-722.836,8.386,167098,2890.97,0,0,-722.848,0.00406351,8.25606e-06,3.87248e-06,0.040624,0.000825155,0.000387036,0.118339,3.29581e-06,1.54589e-06,31.1798,14.3442,0,20.6869,-693.782,0,0,0,-736.222,0,0,-722.848,0,0,-736.222,0,0.4193,1276,1278,28.582,33.2521,0,-3.2671e-16,-8.386,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,1356,9.367,0.777568,2.30012,1356,2,353,1412,1412,3587,163449,167036,0.238584,0.103727,0,1356,0,86,0,0,0,0,2,86,0.0232558,0,0,0,167098,2890.97,0,0,-722.848,8.386,1447.65,0,0,-722.848,9.367,1847,9.367,3382.3,9.367,3344.91,0.492011,0.143219,353,86,1,26908.4,0.000243382,9.04484e-09,-1.27438e-11,216038,110070,10582.3,1.05823,9.367,3186.17,0,0,-777.998,3.67994e-09,1.29539e-09,9.367,3159.2,0,0,-785.847,9.367,167794,3587,0,0,-785.847,9.367,167036,3587,0,0,-785.84,0.00378543,7.16473e-06,2.7085e-06,0.000631671,1.99504e-07,7.5419e-08,0.0015674,2.63484e-09,9.96054e-10,31.1815,14.2872,0,22.8714,-772.49,0,0,0,-799.193,0,0,-785.84,0,0,-799.193,0,0.46835,1289,1291,28.8107,38.7285,0,5.17955e-17,-9.367,0,0,23.2715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,1356,10.348,0.848037,2.53715,1356,2,353,1412,1412,4364.37,162603,166967,0.250983,0.0989234,0.00884956,1356,3,141,0.0212766,0,0,0,0,82,0,0,0,0,167036,3587,0,0,-785.84,9.367,1795.48,0,0,-785.84,10.348,2230.32,10.348,3947.62,10.348,3910.29,0.492248,0.143137,353,88,1,26892.9,0.000233859,8.69595e-09,-1.11699e-11,215412,107066,16711.3,1.67113,10.348,3753.83,0,0,-952.46,3.99668e-09,1.24471e-09,10.348,3730.87,0,0,-956.991,10.348,167813,4364.37,0,0,-956.991,10.348,166967,4364.37,0,0,-956.803,0.00535482,1.43371e-05,4.4545e-06,0.00499309,1.24655e-05,3.87299e-06,0.0305643,1.66298e-06,5.16684e-07,31.1856,14.2236,0,55.5737,-863.01,0,0,0,-970.166,0,0,-956.803,0,0,-970.166,0,0.5174,1291,1293,29.4574,37.6362,0,3.72984e-16,-10.348,0,0,24.3638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,1356,11.329,0.893409,2.7722,1356,2,354,1416,1416,5210.47,161692,166903,0.249506,0.0900031,0.00663717,1356,2,131,0.0152672,0,0,0,48,130,0.369231,0,0,0,166967,4364.37,0,0,-956.803,10.348,2238.01,0,0,-956.803,11.329,2705.07,11.329,4732.07,11.329,4693.06,1.11036,0.154794,354,91,1,29124.3,0.000196942,6.76213e-09,-2.42846e-11,225830,113223,19416.4,1.94164,11.329,4526.41,0,0,-894.814,3.85214e-09,1.04674e-09,11.329,4495.35,0,0,-902.625,11.329,167813,5210.47,0,0,-902.625,11.329,166903,5210.47,0,0,-902.646,0.00356436,6.35233e-06,1.65316e-06,0.00475511,1.13055e-05,2.9422e-06,0.0274295,1.20007e-06,3.12313e-07,31.1873,14.1552,0,23.6341,-928.333,0,0,0,-915.843,0,0,-902.646,0,0,-915.843,0,0.56645,1293,1295,28.8975,39.133,0,-4.18701e-17,-11.329,0,0,22.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,1356,12.31,0.952021,3.00883,1356,2,354,1416,1416,6137.96,160707,166845,0.238514,0.0792716,0,1356,0,82,0,0,0,0,0,81,0,0,0,0,166903,5210.47,0,0,-902.646,11.329,2608.82,0,0,-902.646,12.31,3096.95,12.31,5125.31,12.31,5088.03,0.492516,0.143074,354,86,1,26919.3,0.000191374,7.10919e-09,-3.23898e-11,216170,109924,10443.5,1.04435,12.31,4929.04,0,0,-956.062,3.79424e-09,1.01714e-09,12.31,4895.15,0,0,-964.422,12.31,167830,6137.96,0,0,-964.422,12.31,166845,6137.96,0,0,-964.421,0.079317,0.00314559,0.000694925,0.0792362,0.00313919,0.000693511,0.000783699,1.14904e-13,2.53846e-14,31.1892,14.0811,0,24.7753,-1006.66,0,0,0,-977.516,0,0,-964.421,0,0,-977.516,0,0.6155,1292,1294,28.2966,36.3136,0,-7.77736e-16,-12.31,0,0,25.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
