Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=2
frame_dt=0.1
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=1356
wall_ms=15109.817

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_2\20260629-034848\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",151920,7522.725,7522.725,53.94,0.049518
2,"Diagnostics::record_step",1800,1972.922,1977.826,14.15,1.096068
3,"Fluid_Simulation_2D::advect",1800,1367.483,1367.483,9.81,0.759713
4,"APIC_Simulation_2D::step",1800,1080.608,11968.314,7.75,0.600338
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,407.116,407.116,2.92,0.226175
6,"Fluid_Simulation_2D::projection_2d",1800,357.943,7988.289,2.57,0.198857
7,"Fluid_Simulation_2D::grid_to_particle",1800,255.833,255.833,1.83,0.142130
8,"Fluid_Simulation_2D::particle_to_grid",1800,227.040,227.040,1.63,0.126133
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,143.947,143.947,1.03,0.026657
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,115.888,115.888,0.83,0.021461
11,"Fluid_Simulation_2D::projection_dot_product",459360,100.328,100.328,0.72,0.000218
12,"Fluid_Simulation_2D::extrapolate_velocity",3600,87.024,120.037,0.62,0.024173
13,"APIC_Simulation_2D::max_grid_speed",10800,80.486,80.486,0.58,0.007452
14,"APIC_Simulation_2D::max_particle_speed",3600,78.342,78.342,0.56,0.021762
15,"APIC_Simulation_2D::grid_kinetic_energy",10800,64.097,64.097,0.46,0.005935
16,"Fluid_Simulation_2D::init_marker_vectors",3600,33.013,33.013,0.24,0.009170
17,"Fluid_Simulation_2D::enforce_boundary",1800,17.023,17.023,0.12,0.009457
18,"APIC_Simulation_2D::divergence_stats",3600,13.004,13.004,0.09,0.003612
19,"Fluid_Simulation::apply_forces_2d_settings",1800,9.121,9.121,0.07,0.005067
20,"Fluid_Simulation_2D::setup_rhs",1800,7.293,7.293,0.05,0.004052
21,"Diagnostics::fluid_measure_from",1800,3.996,3.996,0.03,0.002220
22,"Diagnostics::bounds_from",1801,0.908,0.908,0.01,0.000504
