step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,1356,3.481,0.591132,0.990429,1356,2,339,1356,1356,665.083,167757,168422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168623,369.684,0,0,-178.692,2.5,165.218,0,0,-178.692,3.481,403.114,3.481,705.286,3.481,666.289,0.4905,0.161219,339,82,1,29683.5,0.000284573,9.58689e-09,-6142.07,208079,86845,18940.4,1.89404,3.481,531.062,0,0,-2746.46,5.13017e-09,1.54559e-09,3.481,509.249,0,0,-2654.01,3.481,168919,665.083,0,0,-2655.16,3.481,168422,665.083,0,0,-2655.14,0.0347169,0.000602633,0.00122867,0,0,0,0,0,0,31.0801,14.611,0,202.865,-506.831,0,0,0,-2655.14,0,0,-2655.14,0,0,-2655.14,0,0.17405,1276,1278,28.582,36.4641,0,8.16165e-17,-3.481,0,0,25.5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,1356,4.462,0.852358,1.35052,1356,2,345,1380,1380,1236.61,166987,168223,0.431749,0.31969,0.00811209,1356,0,1017,0,0,0,0,0,0,0,0,0,0,168422,665.083,0,0,-2655.14,3.481,316.758,0,0,-2655.14,4.462,653.754,4.462,1136.05,4.462,1066.54,1.50887,0.170237,345,83,1,31620.2,0.000244626,7.73639e-09,-6.70136e-12,209961,86304.7,34726.1,3.47261,4.462,932.003,0,0,-4877.03,3.66495e-09,1.31702e-09,4.462,928.862,0,0,-4727,4.462,168993,1236.61,0,0,-4728.1,4.462,168223,1236.61,0,0,-4728.28,0.0416375,0.000866842,0.00095053,0.0310753,0.000482837,0.000529451,0.217868,0.000141264,0.000154902,31.1107,14.5532,0,411.757,-784.924,0,0,0,-4728.28,0,0,-4728.28,0,0,-4728.28,0,0.2231,1277,1279,28.4768,36.297,0,1.025e-16,-4.462,0,0,25.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,1356,5.84279,1.10489,1.72876,1356,2,346,1384,1384,2026.27,165963,167989,0.419143,0.242453,0.00663717,1356,0,967,0,0,0,0,1,958,0.00104384,0,0,0,168223,1236.61,0,0,-4728.28,4.462,560.351,0,0,-4728.28,5.443,977.932,5.443,1681.09,5.443,1578.84,1.69167,0.183253,346,85,1,34087.1,0.000281253,8.251e-09,-9.57397e-12,210751,88777,38221,3.8221,5.79688,1436.34,0,0,-6873.35,4.86745e-09,1.51202e-09,5.79688,1456.55,0,0,-6657.29,5.84279,169013,2026.27,0,0,-6659.12,5.84279,167989,2026.27,0,0,-6659.83,0.0646179,0.00208773,0.00139713,0.053366,0.00142397,0.000952931,0.0282132,0.000791412,0.00052962,31.1558,14.4762,0,604.691,-1044.13,0,0,0,-6659.83,0,0,-6659.83,0,0,-6659.83,0,0.292139,1239,1241,60.1036,4.95947,0,5.6986,-1.29003,0,1,1.89644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,1356,6.424,1.04756,1.84741,1356,2,348,1392,1392,2313.97,165076,167390,0.695001,0.376203,0.00958702,1356,4,827,0.00483676,0,0,0,631,827,0.762999,0,0,0,167989,2026.27,0,0,-6659.83,5.443,916.687,0,0,-6659.83,6.424,1414.77,6.424,2400.36,6.424,2239.77,3.77631,0.278673,348,89,1,51985.7,0.000490524,9.43574e-09,-1.38921e-11,463474,124596,71260.4,7.12604,6.424,1902,0,0,-4269.11,9.12015e-09,2.62948e-09,6.424,1888.85,0,0,-4093.67,6.424,168277,2313.97,0,0,-4097.42,6.424,167390,2313.97,0,0,-4098.76,0.116261,0.00675825,0.00396038,0.108366,0.00587156,0.00344077,0.0556426,0.00146211,0.000856805,31.195,14.4095,0,525.383,-907.488,0,0,0,-4098.76,0,0,-4098.76,0,0,-4098.76,0,0.3212,1332,1334,32.7774,42.971,0,-1.57669e-16,-6.424,0,0,19.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,1356,7.405,0.843359,1.90131,1356,2,347,1388,1388,2450.95,164369,166820,0.698199,0.36722,0.0176991,1356,3,976,0.00307377,0,0,0,27,779,0.0346598,0,0,0,167390,2313.97,0,0,-4098.76,6.424,983.991,0,0,-4098.76,7.405,1428.13,7.405,2600.67,7.405,2461.71,3.79113,0.308187,347,91,1,57408.9,0.000416289,7.2513e-09,-5.89941e-12,373133,145295,82626.4,8.26264,7.405,2106.82,0,0,-1705.23,6.55138e-09,2.23476e-09,7.405,2061.42,0,0,-1560.67,7.405,167527,2450.95,0,0,-1567.79,7.405,166820,2450.95,0,0,-1569.33,0.125155,0.00783188,0.00433302,0.118136,0.00697806,0.00386064,0.0736677,0.00210233,0.00116312,31.2145,14.3564,0,261.443,-723.621,0,0,0,-1569.33,0,0,-1569.33,0,0,-1569.33,0,0.37025,1327,1329,33.1118,38.7698,0,6.66627e-17,-7.405,0,0,23.2302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,1356,8.386,0.834024,2.10659,1356,2,352,1408,1408,3008.77,163641,166649,0.330906,0.157082,0.00368732,1356,0,520,0,0,0,0,1,520,0.00192308,0,0,0,166820,2450.95,0,0,-1569.33,7.405,1201.11,0,0,-1569.33,8.386,1626.09,8.386,2972.46,8.386,2883.47,2.97625,0.230441,352,91,1,43234.5,0.000366649,8.48046e-09,-1.43401e-11,245958,119440,60374.5,6.03745,8.386,2682.74,0,0,-1076.9,6.47189e-09,1.95424e-09,8.386,2651.57,0,0,-1067.78,8.386,167378,3008.77,0,0,-1068.65,8.386,166649,3008.77,0,0,-1070.29,0.111405,0.00620558,0.00279675,0.112572,0.00633627,0.00285565,0.0344828,0.00155505,0.000700832,31.2282,14.3016,0,183.282,-745.18,0,0,0,-1070.29,0,0,-1070.29,0,0,-1070.29,0,0.4193,1277,1279,28.4768,33.5312,0,3.48903e-16,-8.386,0,0,26.4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,1356,9.367,0.815618,2.30851,1356,2,351,1404,1404,3613.22,162884,166497,0.359635,0.155786,0.00368732,1356,1,469,0.0021322,0,0,0,1,465,0.00215054,0,0,0,166649,3008.77,0,0,-1070.29,8.386,1491.89,0,0,-1070.29,9.367,1914.79,9.367,3538.92,9.367,3458.5,3.18263,0.255223,351,91,1,47816,0.000449544,9.40155e-09,-3.18879e-11,245476,120374,61913.2,6.19132,9.367,3255.05,0,0,-495.343,6.62272e-09,2.39949e-09,9.367,3202.9,0,0,-499.451,9.367,167254,3613.22,0,0,-500.02,9.367,166497,3613.22,0,0,-500.736,0.125705,0.00790088,0.0029651,0.0892903,0.00398638,0.00149604,0.00626959,9.35483e-06,3.51076e-06,31.2345,14.2447,0,85.0862,-772.356,0,0,0,-500.736,0,0,-500.736,0,0,-500.736,0,0.46835,1277,1279,28.4768,32.5945,0,6.83745e-16,-9.367,0,0,26.4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,1356,10.348,0.870382,2.54188,1356,2,352,1408,1408,4380.67,162051,166432,0.248724,0.0978505,0,1356,0,106,0,0,0,0,1,106,0.00943396,0,0,0,166497,3613.22,0,0,-500.736,9.367,1796.4,0,0,-500.736,10.348,2235.55,10.348,3990.34,10.348,3944.33,1.44296,0.165486,352,87,1,31048,0.000230295,7.41738e-09,-2.38498e-11,215825,110252,27952.7,2.79527,10.348,3782.63,0,0,-468.777,4.6257e-09,1.22748e-09,10.348,3755.05,0,0,-473.654,10.348,167265,4380.67,0,0,-474.315,10.348,166432,4380.67,0,0,-474.493,0.0860428,0.00370168,0.00114583,0.0690682,0.00238521,0.000738321,0.0023511,3.99744e-07,1.23738e-07,31.2406,14.1822,0,82.5988,-849.261,0,0,0,-474.493,0,0,-474.493,0,0,-474.493,0,0.5174,1298,1300,31.7974,30.8162,0,2.73565e-16,-10.348,0,0,28.8162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,1356,11.329,0.91445,2.7745,1356,2,354,1416,1416,5219.13,161147,166366,0.246241,0.0887515,0.00221239,1356,0,114,0,0,0,0,0,100,0,0,0,0,166432,4380.67,0,0,-474.493,10.348,2233.43,0,0,-474.493,11.329,2697.2,11.329,4717.49,11.329,4674.52,0.987407,0.156542,354,90,1,29453.2,0.00026959,9.15317e-09,-3.87807e-11,221698,111926,22442.8,2.24428,11.329,4510.42,0,0,-508.317,4.60223e-09,1.43285e-09,11.329,4484.04,0,0,-514.636,11.329,167271,5219.13,0,0,-515.377,11.329,166366,5219.13,0,0,-515.414,0.0790525,0.00312465,0.000811826,0.0287118,0.000412184,0.000107091,0.0039185,1.20085e-05,3.11996e-06,31.2451,14.1141,0,61.4453,-922.549,0,0,0,-515.414,0,0,-515.414,0,0,-515.414,0,0.56645,1279,1281,29.831,30.5167,0,6.06632e-16,-11.329,0,0,27.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,1356,12.31,0.967442,3.00994,1356,2,354,1416,1416,6142.49,160169,166312,0.239496,0.0795685,0.000737463,1356,0,90,0,0,0,0,0,90,0,0,0,0,166366,5219.13,0,0,-515.414,11.329,2600.1,0,0,-515.414,12.31,3088.03,12.31,5105.58,12.31,5067.07,0.52019,0.145537,354,88,1,27382.6,0.000270486,9.87802e-09,-4.53582e-11,218260,110720,15070.8,1.50708,12.31,4906.53,0,0,-575.223,5.27543e-09,1.43761e-09,12.31,4872.74,0,0,-582.887,12.31,167289,6142.49,0,0,-583.379,12.31,166312,6142.49,0,0,-583.357,0.114604,0.00656706,0.00144973,0.0904498,0.00409059,0.000903027,0.00470219,3.02807e-08,6.68469e-09,31.2491,14.0407,0,53.9974,-999.373,0,0,0,-583.357,0,0,-583.357,0,0,-583.357,0,0.6155,1279,1281,29.831,29.309,0,-3.76865e-17,-12.31,0,0,27.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
