Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=2
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=1356
wall_ms=15286.716

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_2\20260629-034848\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",147726,7759.997,7759.997,54.94,0.052530
2,"Diagnostics::record_step",1800,1950.849,1955.618,13.81,1.083805
3,"Fluid_Simulation_2D::advect",1800,1371.527,1371.527,9.71,0.761960
4,"APIC_Simulation_2D::step",1800,1060.478,12168.469,7.51,0.589155
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,393.177,393.177,2.78,0.218432
6,"Fluid_Simulation_2D::projection_2d",1800,360.511,8230.345,2.55,0.200284
7,"Fluid_Simulation_2D::grid_to_particle",1800,251.931,251.931,1.78,0.139961
8,"Fluid_Simulation_2D::particle_to_grid",1800,223.614,223.614,1.58,0.124230
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,143.060,143.060,1.01,0.026493
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,113.797,113.797,0.81,0.021074
11,"Fluid_Simulation_2D::projection_dot_product",446778,101.877,101.877,0.72,0.000228
12,"Fluid_Simulation_2D::extrapolate_velocity",3600,85.818,117.707,0.61,0.023838
13,"APIC_Simulation_2D::max_grid_speed",10800,80.823,80.823,0.57,0.007484
14,"APIC_Simulation_2D::max_particle_speed",3600,78.151,78.151,0.55,0.021709
15,"APIC_Simulation_2D::grid_kinetic_energy",10800,63.927,63.927,0.45,0.005919
16,"Fluid_Simulation_2D::init_marker_vectors",3600,31.889,31.889,0.23,0.008858
17,"Fluid_Simulation_2D::enforce_boundary",1800,17.053,17.053,0.12,0.009474
18,"APIC_Simulation_2D::divergence_stats",3600,13.635,13.635,0.10,0.003787
19,"Fluid_Simulation::apply_forces_2d_settings",1800,9.243,9.243,0.07,0.005135
20,"Fluid_Simulation_2D::setup_rhs",1800,7.959,7.959,0.06,0.004422
21,"Diagnostics::fluid_measure_from",1800,4.060,4.060,0.03,0.002255
22,"Diagnostics::bounds_from",1801,0.710,0.710,0.01,0.000394
