step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,1356,3.481,0.584305,0.983744,1356,2,339,1356,1356,656.135,167757,168413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168623,369.684,0,0,-178.692,2.5,165.218,0,0,-178.692,3.481,403.114,3.481,705.286,3.481,666.289,0.4905,0.161219,339,82,1,29683.5,0.000284573,9.58689e-09,-6142.07,208079,86845,18940.4,1.89404,3.481,531.062,0,0,-2746.46,5.13017e-09,1.54559e-09,3.481,509.249,0,0,-2654.01,3.481,168910,656.135,0,0,-2655.95,3.481,168413,656.135,0,0,-2655.94,0.00493399,1.21721e-05,2.51555e-05,0,0,0,0,0,0,31.0801,14.611,0,202.865,-506.831,0,0,0,-2655.94,0,0,-2655.94,0,0,-2655.94,0,0.17405,1276,1278,28.582,36.4641,0,8.16165e-17,-3.481,0,0,25.5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,1356,4.462,0.838755,1.34056,1356,2,345,1380,1380,1218.43,166987,168205,0.430637,0.321237,0.00884956,1356,0,1069,0,0,0,0,0,0,0,0,0,0,168413,656.135,0,0,-2655.94,3.481,311.551,0,0,-2655.94,4.462,648.564,4.462,1131.8,4.462,1062.05,1.50887,0.169827,345,83,1,31543.9,0.000267775,8.48894e-09,-5.73356e-12,209884,86332.7,34726.2,3.47262,4.462,927.55,0,0,-4877.59,4.34834e-09,1.44165e-09,4.462,924.612,0,0,-4727.8,4.462,168975,1218.43,0,0,-4730.64,4.462,168205,1218.43,0,0,-4730.72,0.0220414,0.000242912,0.000270338,0.0201094,0.000202193,0.000225022,0.0188088,5.38309e-05,5.99087e-05,31.1107,14.5532,0,411.557,-784.793,0,0,0,-4730.72,0,0,-4730.72,0,0,-4730.72,0,0.2231,1286,1288,29.662,39.5242,0,-1.60467e-16,-4.462,0,0,22.4758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,1356,5.443,1.08512,1.71216,1356,2,346,1384,1384,1987.55,165965,167952,0.409914,0.239414,0.00663717,1356,0,1025,0,0,0,0,1,1025,0.00097561,0,0,0,168205,1218.43,0,0,-4730.72,4.462,550.748,0,0,-4730.72,5.443,968.421,5.443,1669.31,5.443,1568.9,1.62905,0.182196,346,85,1,33890.5,0.000295646,8.72356e-09,-1.2512e-11,210580,88882.6,37660.1,3.76601,5.78157,1426.23,0,0,-6847.96,4.97722e-09,1.5894e-09,5.78157,1445.83,0,0,-6632.28,5.443,168974,1987.55,0,0,-6636.61,5.443,167952,1987.55,0,0,-6637.08,0.0518865,0.0013461,0.000918375,0.0397563,0.000790283,0.000539169,0.0133229,0.000228487,0.000155884,31.1556,14.4763,0,603.647,-1042.35,0,0,0,-6637.08,0,0,-6637.08,0,0,-6637.08,0,0.27215,1276,1278,28.582,35.4736,0,-7.16825e-17,-5.443,0,0,26.5264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,1356,6.424,1.02135,1.82934,1356,2,348,1392,1392,2268.91,165079,167348,0.699858,0.382575,0.00884956,1356,4,869,0.00460299,0,0,0,627,868,0.72235,0,0,0,167952,1987.55,0,0,-6637.08,5.443,902.399,0,0,-6637.08,6.424,1400.22,6.424,2379.01,6.424,2221.43,3.3776,0.26737,348,89,1,49877.2,0.000455598,9.13439e-09,-1.64521e-11,460441,124491,70736.9,7.07369,6.424,1887.07,0,0,-4239.41,8.59738e-09,2.44226e-09,6.424,1873.61,0,0,-4063.83,6.424,168233,2268.91,0,0,-4071.59,6.424,167348,2268.91,0,0,-4072.6,0.0613778,0.00188362,0.00112573,0.0751687,0.00282517,0.00168845,0.0478056,0.000616393,0.000368384,31.1948,14.4098,0,525.211,-906.044,0,0,0,-4072.6,0,0,-4072.6,0,0,-4072.6,0,0.3212,1295,1297,29.9989,43.3754,0,4.1716e-16,-6.424,0,0,18.6246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,1356,7.405,0.809935,1.88614,1356,2,347,1388,1388,2412,164371,166783,0.716798,0.380034,0.0176991,1356,2,990,0.0020202,0,0,0,24,811,0.0295931,0,0,0,167348,2268.91,0,0,-4072.6,6.424,966.812,0,0,-4072.6,7.405,1410.67,7.405,2574.33,7.405,2438.94,3.573,0.295311,347,91,1,55010.4,0.000400538,7.28113e-09,-1.41257e-11,369924,144672,81877.2,8.18772,7.405,2090.03,0,0,-1680.4,8.01603e-09,2.1502e-09,7.405,2046.11,0,0,-1533.71,7.405,167491,2412,0,0,-1544.41,7.405,166783,2412,0,0,-1545.02,0.0476922,0.00113728,0.000639364,0.0712653,0.00253937,0.00142761,0.0188088,0.00019425,0.000109205,31.2147,14.3565,0,266.466,-724.913,0,0,0,-1545.02,0,0,-1545.02,0,0,-1545.02,0,0.37025,1293,1295,28.8975,43.076,0,2.8987e-16,-7.405,0,0,18.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,1356,8.386,0.79393,2.08847,1356,2,352,1408,1408,2957.24,163643,166600,0.332865,0.159382,0.00221239,1356,0,525,0,0,0,0,2,525,0.00380952,0,0,0,166783,2412,0,0,-1545.02,7.405,1185.14,0,0,-1545.02,8.386,1610.31,8.386,2948.27,8.386,2861.76,2.98084,0.224772,352,91,1,42170.9,0.000322134,7.63876e-09,-1.36531e-11,248927,119129,59938,5.9938,8.386,2662.93,0,0,-1027.81,5.5252e-09,1.71698e-09,8.386,2631.56,0,0,-1016.65,8.386,167329,2957.24,0,0,-1021.75,8.386,166600,2957.24,0,0,-1022.2,0.0379579,0.0007204,0.00033033,0.0373426,0.000697234,0.000319707,0.0031348,7.16805e-13,3.28681e-13,31.2289,14.3018,0,191.203,-744.83,0,0,0,-1022.2,0,0,-1022.2,0,0,-1022.2,0,0.4193,1278,1280,29.1266,33.3549,0,-3.4099e-16,-8.386,0,0,27.1266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,1356,9.367,0.769575,2.294,1356,2,351,1404,1404,3567.93,162889,166456,0.376545,0.164143,0.00221239,1356,0,459,0,0,0,0,1,459,0.00217865,0,0,0,166600,2957.24,0,0,-1022.2,8.386,1469.61,0,0,-1022.2,9.367,1892.34,9.367,3501.78,9.367,3427.96,2.95177,0.229954,351,91,1,43081.9,0.000399197,9.26602e-09,-2.67796e-11,246697,120046,57055.6,5.70556,9.367,3230.45,0,0,-422.503,6.93292e-09,2.13076e-09,9.367,3182.4,0,0,-424.855,9.367,167211,3567.93,0,0,-425.249,9.367,166456,3567.93,0,0,-425.291,0.0140875,9.92282e-05,3.77119e-05,0.0311018,0.00048366,0.000183816,0.0031348,4.86222e-13,1.8479e-13,31.236,14.2451,0,95.5782,-769.916,0,0,0,-425.291,0,0,-425.291,0,0,-425.291,0,0.46835,1351,1353,35.7015,38.7508,0,1.88565e-16,-9.367,0,0,23.2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,1356,10.348,0.824016,2.52928,1356,2,352,1408,1408,4337.34,162059,166396,0.241083,0.095317,0,1356,0,97,0,0,0,0,0,97,0,0,0,0,166456,3567.93,0,0,-425.291,9.367,1778.15,0,0,-425.291,10.348,2216.39,10.348,3960.3,10.348,3917.13,0.495149,0.145631,352,87,1,27322.8,0.00021034,7.69831e-09,-2.7601e-11,215582,109542,17677.9,1.76779,10.348,3758.24,0,0,-375.542,3.7549e-09,1.12111e-09,10.348,3733.42,0,0,-378.7,10.348,167226,4337.34,0,0,-379.865,10.348,166396,4337.34,0,0,-379.863,0.007584,2.87585e-05,8.99089e-06,0.00847236,3.58904e-05,1.12206e-05,0,0,0,31.2433,14.1827,0,98.7736,-846.286,0,0,0,-379.863,0,0,-379.863,0,0,-379.863,0,0.5174,1302,1304,31.0151,32.906,0,6.34935e-19,-10.348,0,0,29.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,1356,11.329,0.865022,2.76276,1356,2,353,1412,1412,5175.08,161157,166332,0.24638,0.089179,0,1356,0,112,0,0,0,0,0,96,0,0,0,0,166396,4337.34,0,0,-379.863,10.348,2216.25,0,0,-379.863,11.329,2678.59,11.329,4749.97,11.329,4707.1,0.818666,0.150612,353,89,1,28297.4,0.000249452,8.81535e-09,-3.08557e-11,219795,111257,18742.8,1.87428,11.329,4545.35,0,0,-378.596,4.82509e-09,1.3277e-09,11.329,4520.5,0,0,-382.288,11.329,167234,5175.08,0,0,-384.314,11.329,166332,5175.08,0,0,-384.31,0.00316113,4.99638e-06,1.30918e-06,0.00542134,1.46955e-05,3.85058e-06,0,0,0,31.2494,14.1149,0,82.1391,-919.763,0,0,0,-384.31,0,0,-384.31,0,0,-384.31,0,0.56645,1302,1304,31.0151,31.7731,0,3.98879e-16,-11.329,0,0,29.0151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,1356,12.31,0.914163,2.99887,1356,2,353,1412,1412,6097.4,160180,166277,0.23982,0.0799702,0,1356,0,94,0,0,0,0,0,94,0,0,0,0,166332,5175.08,0,0,-384.31,11.329,2582.16,0,0,-384.31,12.31,3068.94,12.31,5140.38,12.31,5101.93,0.493352,0.143983,353,87,1,27051.9,0.000262118,9.68943e-09,-3.87239e-11,216972,110323,12608.8,1.26088,12.31,4942.51,0,0,-409.32,4.16146e-09,1.39511e-09,12.31,4906.94,0,0,-413.71,12.31,167254,6097.4,0,0,-415.948,12.31,166277,6097.4,0,0,-415.941,0.0170445,0.000145257,3.23038e-05,0.0170455,0.000145274,3.23076e-05,0.000783699,1.55173e-14,3.4509e-15,31.255,14.0415,0,76.2286,-996.434,0,0,0,-415.941,0,0,-415.941,0,0,-415.941,0,0.6155,1302,1304,31.0151,30.5421,0,-4.5145e-16,-12.31,0,0,28.5421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
