Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=2
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=1
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=1356
wall_ms=15764.556

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_2\20260629-034848\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",134644,8220.898,8220.898,56.36,0.061057
2,"Diagnostics::record_step",1800,1964.480,1968.818,13.47,1.091378
3,"Fluid_Simulation_2D::advect",1800,1363.310,1363.310,9.35,0.757394
4,"APIC_Simulation_2D::step",1800,1059.745,12618.699,7.26,0.588747
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,398.999,398.999,2.74,0.221666
6,"Fluid_Simulation_2D::projection_2d",1800,347.812,8677.536,2.38,0.193229
7,"Fluid_Simulation_2D::grid_to_particle",1800,256.137,256.137,1.76,0.142299
8,"Fluid_Simulation_2D::particle_to_grid",1800,224.160,224.160,1.54,0.124533
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,143.005,143.005,0.98,0.026482
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,117.426,117.426,0.80,0.021746
11,"Fluid_Simulation_2D::projection_dot_product",407532,100.829,100.829,0.69,0.000247
12,"Fluid_Simulation_2D::extrapolate_velocity",3600,85.475,117.195,0.59,0.023743
13,"APIC_Simulation_2D::max_grid_speed",10800,81.556,81.556,0.56,0.007551
14,"APIC_Simulation_2D::max_particle_speed",3600,76.470,76.470,0.52,0.021242
15,"APIC_Simulation_2D::grid_kinetic_energy",10800,64.042,64.042,0.44,0.005930
16,"Fluid_Simulation_2D::init_marker_vectors",3600,31.721,31.721,0.22,0.008811
17,"Fluid_Simulation_2D::enforce_boundary",1800,16.207,16.207,0.11,0.009004
18,"APIC_Simulation_2D::divergence_stats",3600,14.057,14.057,0.10,0.003905
19,"Fluid_Simulation::apply_forces_2d_settings",1800,8.854,8.854,0.06,0.004919
20,"Fluid_Simulation_2D::setup_rhs",1800,7.997,7.997,0.05,0.004443
21,"Diagnostics::fluid_measure_from",1800,3.601,3.601,0.02,0.002000
22,"Diagnostics::bounds_from",1801,0.738,0.738,0.01,0.000410
