step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,1356,3.481,0.584305,0.983744,1356,2,339,1356,1356,656.135,167757,168413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168623,369.684,0,0,-178.692,2.5,165.218,0,0,-178.692,3.481,403.114,3.481,705.286,3.481,666.289,0.4905,0.161219,339,82,1,29683.5,0.000284573,9.58689e-09,-6142.07,208079,86845,18940.4,1.89404,3.481,531.062,0,0,-2746.46,5.13017e-09,1.54559e-09,3.481,509.249,0,0,-2654.01,3.481,168910,656.135,0,0,-2654.01,3.481,168413,656.135,0,0,-2653.96,0.00493399,1.21721e-05,2.51555e-05,0,0,0,0,0,0,31.0801,14.611,0,202.865,-506.831,0,0,0,-2655.94,0,0,-2653.96,0,0,-2655.94,0,0.17405,1276,1278,28.582,36.4641,0,8.16165e-17,-3.481,0,0,25.5359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.481
1,0.2,0.1,1,0.1,0,0.1,1356,4.462,0.847232,1.34775,1356,2,345,1380,1380,1231.53,166985,168216,0.431608,0.320245,0.0110619,1356,0,1017,0,0,0,0,0,0,0,0,0,0,168413,656.135,0,0,-2653.96,3.481,318.095,0,0,-2653.96,4.462,654.854,4.462,1145.72,4.462,1072.04,1.65977,0.172657,345,84,1,32069.6,0.000264264,8.24032e-09,-5.72749e-12,210182,86232.3,36203.2,3.62032,4.462,937.392,0,0,-4914.79,4.71692e-09,1.42275e-09,4.462,935.167,0,0,-4763.97,4.462,168988,1231.53,0,0,-4763.97,4.462,168216,1231.53,0,0,-4763.42,0.0228041,0.000260013,0.000286292,0.0207493,0.000215267,0.000237024,0.0188088,5.51789e-05,6.07557e-05,31.1108,14.553,0,412.932,-786.834,0,0,0,-4766.79,0,0,-4763.42,0,0,-4766.79,0,0.2231,1277,1279,28.4768,36.297,0,-2.76662e-16,-4.462,0,0,25.703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.462
2,0.3,0.1,1,0.1,0,0.1,1356,5.443,0.861638,1.53049,1356,2,347,1388,1388,1588.14,166256,167844,0.528712,0.345453,0.00368732,1356,1,569,0.00175747,0,0,0,334,569,0.586995,0,0,0,168216,1231.53,0,0,-4763.42,4.462,560.368,0,0,-4763.42,5.443,978.335,5.443,1684.52,5.443,1593.67,4.06297,0.271196,347,89,1,50518.2,0.000444055,8.79001e-09,-1.281e-11,370571,116547,63014.2,6.30142,5.443,1326.29,0,0,-3491.01,8.70147e-09,2.38381e-09,5.443,1318.85,0,0,-3321.78,5.443,168573,1588.14,0,0,-3321.78,5.443,167844,1588.14,0,0,-3322.08,0.0397087,0.000788392,0.000673152,0.0406613,0.00082667,0.000705835,0.0415361,1.12177e-05,9.57801e-06,31.1405,14.4983,0,398.668,-745.159,0,0,0,-3330.94,0,0,-3322.08,0,0,-3330.94,0,0.27215,1353,1355,34.5194,44.5804,0,-4.37535e-16,-5.443,0,0,17.4196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.443
3,0.4,0.1,1,0.1,0,0.1,1356,6.424,0.738976,1.6462,1356,2,350,1400,1400,1837.35,165630,167468,0.542088,0.329297,0.0140118,1356,2,919,0.00217628,0,0,0,59,523,0.112811,0,0,0,167844,1588.14,0,0,-3322.08,5.443,792.453,0,0,-3322.08,6.424,1203.74,6.424,2147.09,6.424,2038.36,3.50028,0.282766,350,91,1,52900.6,0.000409729,7.74527e-09,-9.79187e-12,322216,134166,71967,7.1967,6.424,1747.59,0,0,-1706.7,6.73247e-09,2.1901e-09,6.424,1711.1,0,0,-1593.88,6.424,168094,1837.35,0,0,-1593.88,6.424,167468,1837.35,0,0,-1593.07,0.0327214,0.000535344,0.000395093,0.0438855,0.000962967,0.000710687,0.0195925,5.72917e-07,4.22823e-07,31.1568,14.4512,0,219.47,-640.325,0,0,0,-1607.69,0,0,-1593.07,0,0,-1607.69,0,0.3212,1276,1278,28.582,34.8312,0,-5.8456e-18,-6.424,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.424
4,0.5,0.1,1,0.1,0,0.1,1356,7.405,0.851131,1.89983,1356,2,348,1392,1392,2447.15,164889,167336,0.289324,0.152289,0.000737463,1356,0,455,0,0,0,0,355,455,0.78022,0,0,0,167468,1837.35,0,0,-1593.07,6.424,841.138,0,0,-1593.07,7.405,1211.27,7.405,2312.52,7.405,2241.38,3.20698,0.225325,348,87,1,42033.8,0.000345932,8.22986e-09,-1.56828e-11,214482,104730,27869.3,2.78693,7.405,2078.52,0,0,-2121.56,6.85309e-09,1.85439e-09,7.405,2071.74,0,0,-2091.18,7.405,168078,2447.15,0,0,-2091.18,7.405,167336,2447.15,0,0,-2091.03,0.0406359,0.000825637,0.000457497,0.0317799,0.00050498,0.000279817,0.0023511,3.32098e-05,1.8402e-05,31.1781,14.3955,0,284.84,-759.049,0,0,0,-2105.05,0,0,-2091.03,0,0,-2105.05,0,0.37025,1277,1279,28.4768,34.3698,0,2.09737e-16,-7.405,0,0,26.4768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.405
5,0.6,0.1,1,0.1,0,0.1,1356,8.386,0.721422,2.06542,1356,2,353,1412,1412,2892.33,164208,167100,0.554041,0.268246,0.0464602,1356,20,778,0.0257069,0,0,0,297,379,0.783641,0,0,0,167336,2447.15,0,0,-2091.03,7.405,1222.63,0,0,-2091.03,8.386,1654.47,8.386,3014.28,8.386,2925.27,4.02937,0.317248,353,92,1,59605.6,0.00046897,7.86788e-09,-1.26665e-11,307011,137985,60444,6.0444,8.386,2640.51,0,0,-722.404,8.89581e-09,2.49607e-09,8.386,2550.63,0,0,-725.838,8.386,167781,2892.33,0,0,-725.838,8.386,167100,2892.33,0,0,-725.923,0.0056196,1.579e-05,7.40275e-06,0.0413588,0.000855274,0.000400975,0.105799,6.52049e-06,3.05698e-06,31.1797,14.3442,0,21.7148,-694.497,0,0,0,-739.792,0,0,-725.923,0,0,-739.792,0,0.4193,1351,1353,35.7015,39.6875,0,1.62111e-17,-8.386,0,0,22.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.386
6,0.7,0.1,1,0.1,0,0.1,1356,9.367,0.779355,2.30061,1356,2,353,1412,1412,3588.52,163450,167038,0.238529,0.103681,0,1356,0,86,0,0,0,0,2,86,0.0232558,0,0,0,167100,2892.33,0,0,-725.923,8.386,1448.84,0,0,-725.923,9.367,1848.48,9.367,3384.38,9.367,3346.54,0.491916,0.143046,353,86,1,26875.9,0.000178085,6.62619e-09,-2.87632e-11,216125,110239,10253.9,1.02539,9.367,3187.56,0,0,-781.065,3.04156e-09,9.47848e-10,9.367,3160.59,0,0,-788.275,9.367,167796,3588.52,0,0,-788.275,9.367,167038,3588.52,0,0,-788.363,0.00555476,1.54277e-05,5.82969e-06,0.000866327,3.75261e-07,1.41801e-07,0.000783699,1.98782e-09,7.5114e-10,31.1813,14.2873,0,22.1909,-772.801,0,0,0,-802.222,0,0,-788.363,0,0,-802.222,0,0.46835,1351,1353,35.7015,38.7508,0,1.08681e-16,-9.367,0,0,23.2492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.367
7,0.8,0.1,1,0.1,0,0.1,1356,10.348,0.849009,2.53747,1356,2,353,1412,1412,4365.48,162603,166968,0.251109,0.0989604,0.00884956,1356,2,139,0.0143885,0,0,0,0,82,0,0,0,0,167038,3588.52,0,0,-788.363,9.367,1796.66,0,0,-788.363,10.348,2231.68,10.348,3949.34,10.348,3911.5,0.491889,0.143027,353,88,1,26872.3,0.000241197,8.9757e-09,-2.30339e-11,215398,107042,16501.2,1.65012,10.348,3755.1,0,0,-958.243,3.80823e-09,1.28376e-09,10.348,3733.01,0,0,-962.119,10.348,167815,4365.48,0,0,-962.119,10.348,166968,4365.48,0,0,-962.002,0.00718768,2.58314e-05,8.02371e-06,0.00536372,1.43848e-05,4.46818e-06,0.0305643,4.56893e-07,1.4192e-07,31.1854,14.2236,0,54.8722,-863.502,0,0,0,-975.912,0,0,-962.002,0,0,-975.912,0,0.5174,1276,1278,28.582,31.2806,0,1.9312e-16,-10.348,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.348
8,0.9,0.1,1,0.1,0,0.1,1356,11.329,0.926696,2.7768,1356,2,353,1412,1412,5227.8,161669,166897,0.251014,0.090397,0.00147493,1356,0,141,0,0,0,0,0,140,0,0,0,0,166968,4365.48,0,0,-962.002,10.348,2239.66,0,0,-962.002,11.329,2707.04,11.329,4736.08,11.329,4695.68,0.492666,0.143048,353,88,1,26876.3,0.000212866,7.92024e-09,-4.64851e-11,215446,107243,17077.4,1.70774,11.329,4538.9,0,0,-1117.49,3.38127e-09,1.13297e-09,11.329,4516.55,0,0,-1118,11.329,167831,5227.8,0,0,-1118,11.329,166897,5227.8,0,0,-1117.89,0.011811,6.97497e-05,1.80919e-05,0.00725679,2.63305e-05,6.82967e-06,0.0031348,3.48867e-06,9.04901e-07,31.1918,14.1534,0,86.1244,-952.708,0,0,0,-1131.74,0,0,-1117.89,0,0,-1131.74,0,0.56645,1276,1278,28.582,30.1477,0,1.29847e-15,-11.329,0,0,26.582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.329
9,1,0.1,1,0.1,0,0.1,1356,12.31,0.952499,3.00923,1356,2,354,1416,1416,6139.61,160686,166825,0.284273,0.0944669,0.019174,1356,6,200,0.03,0,0,0,41,122,0.336066,0,0,0,166897,5227.8,0,0,-1117.89,11.329,2619.64,0,0,-1117.89,12.31,3119.24,12.31,5171.19,12.31,5125.38,2.4776,0.19436,354,92,1,36568.7,0.000248261,6.7889e-09,-2.41179e-11,236093,116633,30650.4,3.06504,12.31,4945.59,0,0,-942.926,4.78069e-09,1.31949e-09,12.31,4897.53,0,0,-950.511,12.31,167809,6139.61,0,0,-950.511,12.31,166825,6139.61,0,0,-950.504,0.0776873,0.00301766,0.000666483,0.0782709,0.00306316,0.000676534,0.05721,3.52056e-06,7.77554e-07,31.1932,14.0795,0,19.6099,-1004.99,0,0,0,-964.326,0,0,-950.504,0,0,-964.326,0,0.6155,1318,1320,33.229,28.7582,0,-5.12267e-16,-12.31,0,0,26.7582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31
