Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=2
frame_dt=0.1
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=1
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=1356
wall_ms=15678.758

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_dx_2\20260629-034848\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",150640,7025.762,7025.762,48.39,0.046639
2,"Diagnostics::record_step",1800,2158.701,2163.654,14.87,1.199278
3,"APIC_Simulation_2D::step",1800,1580.520,12354.008,10.89,0.878067
4,"Fluid_Simulation_2D::advect",1800,1379.869,1379.869,9.50,0.766594
5,"Fluid_Simulation_2D::grid_to_particle",1800,455.560,455.560,3.14,0.253089
6,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,411.815,411.815,2.84,0.228786
7,"Fluid_Simulation_2D::particle_to_grid",1800,401.433,401.433,2.77,0.223018
8,"Fluid_Simulation_2D::projection_2d",1800,346.551,7478.241,2.39,0.192528
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,142.267,142.267,0.98,0.026346
10,"APIC_Simulation_2D::particle_kinetic_energy",5400,115.953,115.953,0.80,0.021473
11,"Fluid_Simulation_2D::projection_dot_product",455520,98.925,98.925,0.68,0.000217
12,"Fluid_Simulation_2D::extrapolate_velocity",3600,89.124,122.677,0.61,0.024757
13,"APIC_Simulation_2D::max_grid_speed",10800,82.320,82.320,0.57,0.007622
14,"APIC_Simulation_2D::max_particle_speed",3600,80.501,80.501,0.55,0.022361
15,"APIC_Simulation_2D::grid_kinetic_energy",10800,63.880,63.880,0.44,0.005915
16,"Fluid_Simulation_2D::init_marker_vectors",3600,33.553,33.553,0.23,0.009320
17,"Fluid_Simulation_2D::enforce_boundary",1800,17.027,17.027,0.12,0.009459
18,"APIC_Simulation_2D::divergence_stats",3600,12.855,12.855,0.09,0.003571
19,"Fluid_Simulation::apply_forces_2d_settings",1800,9.089,9.089,0.06,0.005049
20,"Fluid_Simulation_2D::setup_rhs",1800,7.003,7.003,0.05,0.003891
21,"Diagnostics::fluid_measure_from",1800,3.894,3.894,0.03,0.002164
22,"Diagnostics::bounds_from",1801,1.060,1.060,0.01,0.000588
