Fluid simulation profile
dimension=2
steps=7200
simulated_substeps=7200
domain=64
dx=1
frame_dt=0.025
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=24
particle_frames=4321
particles=5932
wall_ms=574025.023

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_0025\20260628-185233\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1280390,452544.660,452544.660,80.29,0.353443
2,"Diagnostics::record_step",7200,36179.967,36227.218,6.42,5.024995
3,"Fluid_Simulation_2D::advect",7200,21713.283,21713.283,3.85,3.015734
4,"APIC_Simulation_2D::step",7200,18845.998,527412.933,3.34,2.617500
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",7200,7151.743,7151.743,1.27,0.993298
6,"Fluid_Simulation_2D::projection_2d",7200,5778.936,461633.284,1.03,0.802630
7,"Fluid_Simulation_2D::grid_to_particle",7200,4308.049,4308.049,0.76,0.598340
8,"Fluid_Simulation_2D::particle_to_grid",7200,3657.719,3657.719,0.65,0.508017
9,"Fluid_Simulation_2D::projection_dot_product",3855570,3205.577,3205.577,0.57,0.000831
10,"APIC_Simulation_2D::particle_mechanical_energy",21600,2965.372,2965.372,0.53,0.137286
11,"APIC_Simulation_2D::particle_kinetic_energy",21600,2370.082,2370.082,0.42,0.109726
12,"APIC_Simulation_2D::max_particle_speed",14400,1602.069,1602.069,0.28,0.111255
13,"APIC_Simulation_2D::max_grid_speed",43200,925.230,925.230,0.16,0.021417
14,"APIC_Simulation_2D::grid_kinetic_energy",43200,781.420,781.420,0.14,0.018088
15,"Fluid_Simulation_2D::extrapolate_velocity",14400,664.206,1023.606,0.12,0.046125
16,"Fluid_Simulation_2D::init_marker_vectors",14400,359.400,359.400,0.06,0.024958
17,"Fluid_Simulation_2D::enforce_boundary",7200,174.356,174.356,0.03,0.024216
18,"APIC_Simulation_2D::divergence_stats",14400,166.574,166.574,0.03,0.011568
19,"Fluid_Simulation_2D::setup_rhs",7200,104.111,104.111,0.02,0.014460
20,"Fluid_Simulation::apply_forces_2d_settings",7200,94.149,94.149,0.02,0.013076
21,"Diagnostics::fluid_measure_from",7200,42.595,42.595,0.01,0.005916
22,"Diagnostics::bounds_from",7201,4.656,4.656,0.00,0.000647
