Fluid simulation profile
dimension=2
steps=7200
simulated_substeps=7200
domain=64
dx=1
frame_dt=0.025
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=24
particle_frames=4321
particles=5932
wall_ms=523145.088

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_0025\20260628-185233\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",1104546,399436.737,399436.737,77.94,0.361630
2,"Diagnostics::record_step",7200,37250.063,37297.502,7.27,5.173620
3,"Fluid_Simulation_2D::advect",7200,21988.753,21988.753,4.29,3.053993
4,"APIC_Simulation_2D::step",7200,19358.753,475183.099,3.78,2.688716
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",7200,7354.704,7354.704,1.44,1.021487
6,"Fluid_Simulation_2D::projection_2d",7200,5488.360,407907.929,1.07,0.762272
7,"Fluid_Simulation_2D::grid_to_particle",7200,4378.700,4378.700,0.85,0.608153
8,"Fluid_Simulation_2D::particle_to_grid",7200,3754.629,3754.629,0.73,0.521476
9,"APIC_Simulation_2D::particle_mechanical_energy",21600,3120.233,3120.233,0.61,0.144455
10,"Fluid_Simulation_2D::projection_dot_product",3328038,2879.314,2879.314,0.56,0.000865
11,"APIC_Simulation_2D::particle_kinetic_energy",21600,2449.440,2449.440,0.48,0.113400
12,"APIC_Simulation_2D::max_particle_speed",14400,1650.400,1650.400,0.32,0.114611
13,"APIC_Simulation_2D::max_grid_speed",43200,954.270,954.270,0.19,0.022090
14,"APIC_Simulation_2D::grid_kinetic_energy",43200,792.595,792.595,0.15,0.018347
15,"Fluid_Simulation_2D::extrapolate_velocity",14400,666.587,1029.397,0.13,0.046291
16,"Fluid_Simulation_2D::init_marker_vectors",14400,362.810,362.810,0.07,0.025195
17,"Fluid_Simulation_2D::enforce_boundary",7200,177.035,177.035,0.03,0.024588
18,"APIC_Simulation_2D::divergence_stats",14400,171.453,171.453,0.03,0.011906
19,"Fluid_Simulation_2D::setup_rhs",7200,103.517,103.517,0.02,0.014377
20,"Fluid_Simulation::apply_forces_2d_settings",7200,94.808,94.808,0.02,0.013168
21,"Diagnostics::fluid_measure_from",7200,43.106,43.106,0.01,0.005987
22,"Diagnostics::bounds_from",7201,4.333,4.333,0.00,0.000602
