step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
3104,77.625,0.025,1,0.025,0,0.025,5932,2.6535,0.367544,0.541769,5932,2,1291,1291,1291,870.561,597178,598048,0.0395207,0.0729476,0.00101146,5932,0,331,0,1,0.000168577,0.293572,210,260,0.807692,224,0.0377613,0.150189,598064,870.09,0,0,-2527.31,3.39391,245.723,0,0,-2527.31,3.39391,289.725,3.39391,412.879,3.39391,394.477,2.82917,0.104874,1291,174,1,150727,0.00140632,9.33025e-09,2275.98,203905,103312,39429.2,0.985729,3.39391,354.481,0,0,-2347.44,4.32881e-09,9.78501e-10,3.21158,356.382,0,0,-2306.53,2.6535,598065,870.561,0,0,-2306.53,2.6535,598048,870.561,0,0,-2306.36,0.00638496,2.03839e-05,0.000138895,0.00193457,1.87129e-06,1.27509e-05,0.00488874,5.35832e-07,3.65115e-06,31.9291,11.262,0,-83.1745,-66.7245,0,0,0,-2291.41,0,0,-2306.36,0,0,-2291.41,0,0.0663376,2413,2415,32.0609,20.9764,0,2.64529,-0.208651,0,0,19.9764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64529
3105,77.65,0.025,1,0.025,0,0.025,5932,2.64986,0.367143,0.540853,5932,2,1293,1293,1293,867.621,597167,598035,0.0366088,0.0676872,0.000674309,5932,0,359,0,0,0,0,214,263,0.813688,188,0.0316925,0.163431,598048,870.561,0,0,-2306.36,3.2269,247.4,0,0,-2306.36,3.2269,292.402,3.2269,417.886,3.2269,399.384,2.42625,0.10149,1293,173,1,145976,0.0013775,9.43647e-09,2936.45,210910,110452,32761.1,0.819027,3.2269,356.966,0,0,-2552.37,3.65923e-09,9.57706e-10,3.10716,360.956,0,0,-2515.65,2.64986,598045,867.621,0,0,-2515.65,2.64986,598035,867.621,0,0,-2515.42,0.00642418,2.06351e-05,0.000141084,0.00142901,1.02104e-06,6.98092e-06,0.00421443,1.61089e-08,1.10138e-07,31.9288,11.2619,0,-71.2298,-43.3671,0,0,0,-2500.86,0,0,-2515.42,0,0,-2500.86,0,0.0662464,2413,2415,32.1262,20.975,0,2.64863,-0.0806176,0,0,19.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53862
3106,77.675,0.025,1,0.025,0,0.025,5932,2.63469,0.368781,0.54322,5932,2,1289,1289,1289,875.23,597151,598026,0.0347432,0.0639578,0.000505732,5932,0,334,0,0,0,0,214,260,0.823077,203,0.0342212,0.144949,598035,867.621,0,0,-2515.42,3.127,247.237,0,0,-2515.42,3.127,289.891,3.127,409.284,3.127,390.83,0.255308,0.0543093,1289,176,1,77993.9,0.000706396,9.05708e-09,2223.65,201644,101947,23808.5,0.595213,3.23086,352.958,0,0,-2302.81,1.90276e-09,4.91883e-10,3.23086,360.887,0,0,-2265.98,2.63469,598042,875.23,0,0,-2265.98,2.63469,598026,875.23,0,0,-2265.77,0.00648554,2.10311e-05,0.000142541,0.0014673,1.07648e-06,7.29599e-06,0.00455158,1.00468e-07,6.80939e-07,31.9284,11.2616,0,-81.7808,-66.4973,0,0,0,-2252.36,0,0,-2265.77,0,0,-2252.36,0,0.0658673,2413,2415,32.191,20.9756,0,2.63469,-0.00289521,0,0,19.9756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61256
3107,77.7,0.025,1,0.025,0,0.025,5932,2.62419,0.371226,0.546354,5932,2,1288,1288,1288,885.358,597129,598014,0.0315241,0.0576991,0.00118004,5932,0,319,0,0,0,0,1,311,0.00321543,178,0.0300067,0.153132,598026,875.23,0,0,-2265.77,3.22676,248.687,0,0,-2265.77,3.22676,293.467,3.22676,420.323,3.22676,401.748,0.255556,0.0542013,1288,175,1,77808.5,0.000710072,9.12589e-09,2111.55,200848,101692,23878.5,0.596963,3.34184,363.944,0,0,-2059.3,1.577e-09,4.94635e-10,3.34184,370.985,0,0,-2022.29,2.62419,598036,885.358,0,0,-2022.29,2.62419,598014,885.358,0,0,-2022.03,0.00672605,2.26199e-05,0.000151556,0.00153265,1.1745e-06,7.8693e-06,0.00505732,3.09647e-08,2.07467e-07,31.928,11.2612,0,-89.1247,-90.0661,0,0,0,-2008.75,0,0,-2022.03,0,0,-2008.75,0,0.0656048,2349,2351,31.6899,21.0917,0,2.55397,-0.603015,0,0,20.0917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75439
3108,77.725,0.025,1,0.025,0,0.025,5932,2.74074,0.367476,0.541926,5932,2,1289,1289,1289,871.066,597118,597989,0.0669057,0.123459,0.00168577,5932,1,592,0.00168919,0,0,0,257,294,0.87415,208,0.0350641,0.283462,598014,885.358,0,0,-2022.03,3.33302,254.654,0,0,-2022.03,3.33302,301.333,3.33302,434.983,3.33302,416.279,4.29782,0.157504,1289,174,1,226192,0.00191545,8.46823e-09,3208.9,216622,113351,66270.8,1.65677,3.47591,368.382,0,0,-2398.6,6.25841e-09,1.33378e-09,3.47591,367.156,0,0,-2358.85,2.74074,598000,871.066,0,0,-2358.85,2.74074,597989,871.066,0,0,-2358.87,0.00692402,2.3971e-05,0.000163244,0.00185819,1.72644e-06,1.17571e-05,0.0111261,1.30492e-07,8.88658e-07,31.9278,11.261,0,-57.8227,-45.5295,0,0,0,-2345.77,0,0,-2358.87,0,0,-2345.77,0,0.0685186,2349,2351,31.7583,21.0804,0,2.69532,-0.496911,0,0,20.0804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69532
3109,77.75,0.025,1,0.025,0,0.025,5932,2.8619,0.368098,0.542963,5932,2,1291,1291,1291,874.405,597107,597981,0.0173898,0.0320275,0.000337154,5932,0,129,0,0,0,0,3,83,0.0361446,208,0.0350641,0.0217029,597989,871.066,0,0,-2358.87,3.45216,251.365,0,0,-2358.87,3.45216,295.482,3.45216,428.582,3.45216,409.991,1.36622,0.0662877,1291,173,1,95270,0.000935264,9.81698e-09,2552.49,203879,105811,27483.6,0.687089,3.58337,370.811,0,0,-2371.17,2.80216e-09,6.50745e-10,3.58337,376.164,0,0,-2333.88,2.8619,597992,874.405,0,0,-2333.88,2.8619,597981,874.405,0,0,-2334.01,0.00720225,2.59362e-05,0.000175953,0.00105859,5.6031e-07,3.80117e-06,0.00421443,1.68865e-08,1.14559e-07,31.9276,11.2608,0,-52.9641,-45.8785,0,0,0,-2320.86,0,0,-2334.01,0,0,-2320.86,0,0.0715475,2349,2351,31.8301,21.0712,0,2.83143,-0.416527,0,0,20.0712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83143
3110,77.775,0.025,1,0.025,0,0.025,5932,2.9942,0.368641,0.543743,5932,2,1290,1290,1290,876.917,597096,597973,0.0136686,0.0251379,0,5932,0,95,0,0,0,0,2,73,0.0273973,208,0.0350641,0.0201479,597981,874.405,0,0,-2334.01,3.54298,255.027,0,0,-2334.01,3.54298,299.078,3.54298,435.925,3.54298,417.286,0.255742,0.0545663,1290,172,1,78393.3,0.000746201,9.51868e-09,1302.87,203436,104664,14722.2,0.368056,3.68404,378.803,0,0,-2305.35,1.74859e-09,5.19399e-10,3.68404,384.794,0,0,-2268.25,2.9942,597984,876.917,0,0,-2268.25,2.9942,597973,876.917,0,0,-2268.38,0.00744475,2.77121e-05,0.000187462,0.00198645,1.97299e-06,1.33465e-05,0.00286581,5.13261e-08,3.47201e-07,31.9274,11.2606,0,-45.1096,-46.9307,0,0,0,-2254.77,0,0,-2268.38,0,0,-2254.77,0,0.0748551,2349,2351,31.9056,21.0642,0,2.97565,-0.332789,0,0,20.0642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.97565
3111,77.8,0.025,1,0.025,0,0.025,5932,2.50044,0.367837,0.544006,5932,2,1292,1292,1292,877.764,597085,597963,0.0487734,0.089656,0.000842886,5932,0,396,0,0,0,0,20,95,0.210526,195,0.0328726,0.0263522,597973,876.917,0,0,-2268.38,3.62523,256.832,0,0,-2268.38,3.62523,302.002,3.62523,447.852,3.62523,429.135,4.33192,0.1845,1292,171,1,265269,0.00263608,9.93739e-09,-5220.78,207849,109328,70100.9,1.75252,3.62523,381.701,0,0,-2289.96,5.81089e-09,1.83344e-09,2.87083,369.273,0,0,-2252.52,2.50044,597973,877.764,0,0,-2252.52,2.50044,597963,877.764,0,0,-2252.66,0.0063881,2.04039e-05,0.000137891,0.00302668,4.58039e-06,3.09546e-05,0.00455158,5.09098e-09,3.44052e-08,31.9272,11.2604,0,-43.6464,-44.2168,0,0,0,-2239.05,0,0,-2252.66,0,0,-2239.05,0,0.0625111,2349,2351,31.9671,21.0504,0,2.43372,-0.573763,0,0,20.0504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45867
3112,77.825,0.025,1,0.025,0,0.025,5932,2.53673,0.367974,0.543461,5932,2,1294,1294,1294,876.007,597074,597950,0.0208704,0.0384028,0.000674309,5932,0,167,0,0,0,0,35,120,0.291667,194,0.032704,0.0569192,597963,877.764,0,0,-2252.66,2.8103,251.871,0,0,-2252.66,2.8103,296.261,2.8103,433.118,2.8103,414.429,1.81333,0.0782821,1294,174,1,112639,0.000980934,8.70864e-09,2416.59,205805,107054,35161.7,0.879044,2.95537,374.342,0,0,-2229.17,2.24407e-09,6.8173e-10,2.95537,378.211,0,0,-2192.02,2.53673,597961,876.007,0,0,-2192.02,2.53673,597950,876.007,0,0,-2192.16,0.00651539,2.12252e-05,0.000143729,0.00144841,1.04894e-06,7.10303e-06,0.00185435,2.26786e-08,1.53571e-07,31.927,11.2603,0,-36.4931,-44.6636,0,0,0,-2178.16,0,0,-2192.16,0,0,-2178.16,0,0.0634182,2349,2351,32.0294,21.0369,0,2.47374,-0.561769,0,0,20.0369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47374
3113,77.85,0.025,1,0.025,0,0.025,5932,2.55509,0.368102,0.543185,5932,2,1293,1293,1293,875.119,597063,597938,0.0140032,0.0257798,0.000337154,5932,0,88,0,0,0,0,5,69,0.0724638,6,0.00101146,0.0206344,597950,876.007,0,0,-2192.16,2.88706,252.234,0,0,-2192.16,2.88706,295.641,2.88706,425.383,2.88706,406.669,0.895154,0.0601145,1293,173,1,86464.6,0.000748987,8.66236e-09,4667.28,203884,105715,17574.8,0.43937,3.03225,367.746,0,0,-2184.17,1.68175e-09,5.20733e-10,3.03225,373.995,0,0,-2146.89,2.55509,597949,875.119,0,0,-2146.89,2.55509,597938,875.119,0,0,-2147.19,0.0063596,2.02223e-05,0.000137077,0.00120292,7.23506e-07,4.90429e-06,0.0021915,6.18088e-09,4.18971e-08,31.9269,11.2601,0,-32.5098,-45.6309,0,0,0,-2132.44,0,0,-2147.19,0,0,-2132.44,0,0.0638773,2349,2351,32.0916,21.0241,0,2.49839,-0.535308,0,0,20.0241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61609
