Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=1
frame_dt=0.05
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=5932
wall_ms=246568.704

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_005\20260628-193633\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",605284,177835.133,177835.133,74.53,0.293804
2,"Diagnostics::record_step",3600,18025.179,18047.584,7.55,5.006994
3,"APIC_Simulation_2D::step",3600,13242.500,220576.335,5.55,3.678472
4,"Fluid_Simulation_2D::advect",3600,10784.125,10784.125,4.52,2.995590
5,"Fluid_Simulation_2D::grid_to_particle",3600,3674.216,3674.216,1.54,1.020616
6,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,3459.136,3459.136,1.45,0.960871
7,"Fluid_Simulation_2D::particle_to_grid",3600,3123.473,3123.473,1.31,0.867631
8,"Fluid_Simulation_2D::projection_2d",3600,2338.695,181517.302,0.98,0.649638
9,"APIC_Simulation_2D::particle_mechanical_energy",10800,1359.280,1359.280,0.57,0.125859
10,"Fluid_Simulation_2D::projection_dot_product",1823052,1300.014,1300.014,0.54,0.000713
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,1132.132,1132.132,0.47,0.104827
12,"APIC_Simulation_2D::max_particle_speed",7200,737.232,737.232,0.31,0.102393
13,"APIC_Simulation_2D::max_grid_speed",21600,447.274,447.274,0.19,0.020707
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,382.831,382.831,0.16,0.017724
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,337.829,512.717,0.14,0.046921
16,"Fluid_Simulation_2D::init_marker_vectors",7200,174.887,174.887,0.07,0.024290
17,"Fluid_Simulation_2D::enforce_boundary",3600,83.530,83.530,0.04,0.023203
18,"APIC_Simulation_2D::divergence_stats",7200,75.417,75.417,0.03,0.010475
19,"Fluid_Simulation::apply_forces_2d_settings",3600,45.169,45.169,0.02,0.012547
20,"Fluid_Simulation_2D::setup_rhs",3600,43.459,43.459,0.02,0.012072
21,"Diagnostics::fluid_measure_from",3600,19.899,19.899,0.01,0.005527
22,"Diagnostics::bounds_from",3601,2.508,2.508,0.00,0.000696
