Fluid simulation profile
dimension=2
steps=3600
simulated_substeps=3600
domain=64
dx=1
frame_dt=0.05
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=20
particle_frames=3601
particles=5932
wall_ms=254462.199

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_02\20260628-195919\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",623016,192795.189,192795.189,78.31,0.309455
2,"Diagnostics::record_step",3600,16919.607,16941.865,6.87,4.699891
3,"Fluid_Simulation_2D::advect",3600,10782.685,10782.685,4.38,2.995190
4,"APIC_Simulation_2D::step",3600,9441.330,229253.965,3.83,2.622592
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",3600,3551.057,3551.057,1.44,0.986405
6,"Fluid_Simulation_2D::projection_2d",3600,2448.959,196689.780,0.99,0.680266
7,"Fluid_Simulation_2D::grid_to_particle",3600,2187.285,2187.285,0.89,0.607579
8,"Fluid_Simulation_2D::particle_to_grid",3600,1857.883,1857.883,0.75,0.516079
9,"Fluid_Simulation_2D::projection_dot_product",1876248,1399.712,1399.712,0.57,0.000746
10,"APIC_Simulation_2D::particle_mechanical_energy",10800,1345.250,1345.250,0.55,0.124560
11,"APIC_Simulation_2D::particle_kinetic_energy",10800,1140.404,1140.404,0.46,0.105593
12,"APIC_Simulation_2D::max_particle_speed",7200,716.122,716.122,0.29,0.099461
13,"APIC_Simulation_2D::max_grid_speed",21600,445.553,445.553,0.18,0.020627
14,"APIC_Simulation_2D::grid_kinetic_energy",21600,384.129,384.129,0.16,0.017784
15,"Fluid_Simulation_2D::extrapolate_velocity",7200,328.987,505.248,0.13,0.045693
16,"Fluid_Simulation_2D::init_marker_vectors",7200,176.261,176.261,0.07,0.024481
17,"Fluid_Simulation_2D::enforce_boundary",3600,84.388,84.388,0.03,0.023441
18,"APIC_Simulation_2D::divergence_stats",7200,77.183,77.183,0.03,0.010720
19,"Fluid_Simulation_2D::setup_rhs",3600,45.920,45.920,0.02,0.012755
20,"Fluid_Simulation::apply_forces_2d_settings",3600,45.668,45.668,0.02,0.012685
21,"Diagnostics::fluid_measure_from",3600,19.913,19.913,0.01,0.005531
22,"Diagnostics::bounds_from",3601,2.346,2.346,0.00,0.000651
