step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.4,0.4,1,0.4,0,0.4,5932,9.19806,1.49924,2.25704,5932,2,1483,1483,1483,15109.5,733771,748881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760141,1509.55,0,0,-372.786,2.5,524.515,0,0,-372.786,6.424,13336.5,6.424,16931.1,6.424,15612.2,3.924,0.799359,1483,174,1,76957.8,0.000735344,9.55516e-09,-242.685,217784,85006.3,23318.9,9.32757,9.32757,6927.07,0,0,-52152.8,4.66985e-08,7.63801e-09,9.32757,6722.89,0,0,-51356.2,9.19806,773741,15109.5,0,0,-51356.2,9.19806,748881,15109.5,0,0,-51364.8,0.284924,0.0405908,0.015936,0,0,0,0,0,0,31.8012,13.6093,0,3933.57,-6378.07,0,0,0,-51365.8,0,0,-51364.8,0,0,-51365.8,0,3.67923,5522,5524,62.4409,1.0164,0,9.19796,-0.044088,0,1,0.0164048,1,63,1,0,-1,0,0,8.46805,-0.0338223,0,8.46805,0.0338223,0,8.46812,8.46812,-8.46805,-8.46805,0.0676445,0,0,46,0
1,0.8,0.4,1,0.4,0,0.4,5932,10.348,1.0264,2.54568,5932,2,1495,1495,1495,19221.2,723919,743140,1.85486,0.72863,0.155091,5932,146,4502,0.03243,0,0,0,0,0,0,0,0,0,748881,15109.5,0,0,-51364.8,8.44671,4838.68,0,0,-51364.8,10.348,23682.7,10.348,30773,10.348,28616.6,12.1418,0.92006,1495,190,1,88935.8,0.000886352,9.9662e-09,-3.70305e-12,389755,129006,44949.3,17.9797,12.0125,12178.3,0,0,-5663.62,3.84901e-08,9.16949e-09,12.0125,10962.4,0,0,-5134.55,10.348,752992,19221.2,0,0,-5134.55,10.348,743140,19221.2,0,0,-5168.47,0.57783,0.166943,0.0515218,0.621155,0.192917,0.0595377,0.143697,0.00485293,0.0014977,31.9097,13.44,0,1563.65,-3936.5,0,0,0,-5171.43,0,0,-5168.47,0,0,-5171.43,0,4.1392,5613,5615,28.0821,31.7626,0,-3.77077e-16,-10.348,0,0,27.0821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0
2,1.2,0.4,1,0.4,0,0.4,5932,14.272,1.11448,3.35564,5932,2,1479,1479,1479,33398,716341,749739,1.20351,0.358653,0.0210722,5932,47,1754,0.0267959,0,0,0,192,1754,0.109464,0,0,0,743140,19221.2,0,0,-5168.47,10.348,6429.28,0,0,-5168.47,14.272,22667,14.272,32053.5,14.272,30605.6,8.87722,0.872399,1479,184,1,83876.3,0.000691589,8.24534e-09,-4.58921e-12,232491,114078,34192.3,13.6769,14.272,18924.4,0,0,9475,2.59544e-08,7.19322e-09,14.272,17636.1,0,0,10240.8,14.272,757317,33398,0,0,10240.8,14.272,749739,33398,0,0,10417.7,0.220499,0.02431,0.00431782,0.570256,0.162596,0.0288796,0.031161,0.000821319,0.000145879,31.9813,13.3098,0,1053.35,-4543.4,0,0,0,10411.7,0,0,10417.7,0,0,10411.7,0,5.7088,5637,5639,28.3849,35.2629,0,2.70556e-16,-14.272,0,0,27.3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.6,0.4,1,0.4,0,0.4,5932,18.196,1.39302,4.2703,5932,2,1486,1486,1486,54086.4,708841,762928,0.932412,0.218348,0.0180378,5932,12,1034,0.0116054,0,0,0,86,874,0.0983982,0,0,0,749739,33398,0,0,10417.7,14.272,12384.9,0,0,10417.7,18.196,29892.3,18.196,42474.4,18.196,41202.5,3.94462,0.812943,1486,183,1,78344.7,0.000754077,9.62513e-09,-8.17561e-12,224574,108276,17979.6,7.19186,18.196,30404.1,0,0,14393.8,2.86589e-08,7.82468e-09,18.196,29377.5,0,0,15490.6,18.196,770427,54086.4,0,0,15490.6,18.196,762928,54086.4,0,0,15861.3,0.33264,0.0553248,0.00606782,0.228187,0.0260346,0.00285538,0.0294849,0.00185277,0.000203205,32.0809,13.1809,0,1476.25,-5774.3,0,0,0,15857.2,0,0,15861.3,0,0,15857.2,0,7.2784,5637,5639,28.3849,32.7629,0,4.9662e-16,-18.196,0,0,27.3849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.4,1,0.4,0,0.4,5932,22.12,1.66021,5.17944,5932,2,1475,1475,1475,79567.8,701433,781000,0.933623,0.180255,0.023938,5932,20,758,0.0263852,0,0,0,40,659,0.060698,0,0,0,762928,54086.4,0,0,15861.3,18.196,18530.3,0,0,15861.3,22.12,36831.9,22.12,50567.1,22.12,49295.6,3.92804,0.808641,1475,176,1,77641.1,0.000645151,8.3094e-09,-6.00422e-12,224381,108792,13676.8,5.4707,22.12,38511.2,0,0,19220.1,2.42327e-08,6.71933e-09,22.12,37531.8,0,0,20337.4,22.12,788409,79567.8,0,0,20337.4,22.12,781000,79567.8,0,0,20913.3,1.46311,1.07034,0.0797969,1.23156,0.758373,0.0565388,0.0336641,0.00602157,0.000448925,32.2027,13.0536,0,1820.2,-7020.23,0,0,0,20910.4,0,0,20913.3,0,0,20910.4,0,8.848,5636,5638,28.4679,29.6695,0,-6.18492e-17,-22.12,0,0,27.4679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.4,0.4,1,0.4,0,0.4,5932,32.3498,1.99591,5.63394,5932,2,1482,1482,1482,94144.6,695718,789862,1.62297,0.28807,0.0912003,5932,112,1757,0.063745,0,0,0,90,498,0.180723,0,0,0,781000,79567.8,0,0,20913.3,22.12,26086.5,0,0,20913.3,26.044,45546,26.044,60541.9,26.044,59255,20.1059,1.41432,1482,187,1,136117,0.00121277,8.90975e-09,548.49,234422,118838,57243.7,22.8975,34.3301,45913.4,0,0,21918.7,4.34459e-08,1.26012e-08,34.3301,44210.7,0,0,22672.1,32.3498,795577,94144.6,0,0,22672.1,32.3498,789862,94144.6,0,0,23518.2,2.3439,2.74693,0.173083,1.7942,1.60957,0.101418,0.161279,0.295531,0.0186212,32.3264,12.9554,0,1978.95,-7379.78,0,0,0,23528.2,0,0,23518.2,0,0,23528.2,0,12.9399,5854,5856,34.773,23.3793,0,6.66518,-31.6557,0,0,22.3793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8,0.4,1,0.4,0,0.4,5932,29.3014,2.79269,5.57402,5932,2,1481,1481,1481,92152.8,696099,788252,2.39968,0.430512,0.0269724,5932,12,3838,0.00312663,0,0,0,73,2045,0.0356968,0,0,0,789862,94144.6,0,0,23518.2,25.814,27099,0,0,23518.2,29.738,47365.9,29.738,65208.8,29.738,63925.7,20.9504,1.31471,1481,189,1,126488,0.00109478,8.65521e-09,788.425,269179,143091,56572.3,22.6289,30.7224,46412.7,0,0,22296.8,4.20179e-08,1.13791e-08,30.7224,44588.5,0,0,22957,29.3014,787871,92152.8,0,0,22957,29.3014,788252,92152.8,0,0,22796.4,2.60937,3.40442,0.219147,2.16385,2.34112,0.150701,0.04147,0.184794,0.0118954,32.4635,12.9619,0,2164.41,-5443.13,0,0,0,22831.8,0,0,22796.4,0,0,22831.8,0,11.7206,5930,5932,36.3864,27.5884,0,2.12038,-29.2246,0,0,26.5884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3.2,0.4,1,0.4,0,0.4,5932,31.8734,2.9312,5.97055,5932,2,1499,1499,1499,105730,698548,804279,1.26271,0.21149,0.000168577,5932,1,2051,0.000487567,0,0,0,770,2043,0.376897,0,0,0,788252,92152.8,0,0,22796.4,30.3563,34608.3,0,0,22796.4,33.3184,55195.1,33.3184,71905.2,33.3184,70654.7,5.51615,0.911934,1499,185,1,88268.2,0.000750491,8.50239e-09,1196.22,235739,118758,42145.5,16.8582,33.3184,57201.9,0,0,24337.2,2.72647e-08,7.75362e-09,32.3478,56272.3,0,0,24938.3,31.8734,801829,105730,0,0,24938.3,31.8734,804279,105730,0,0,25214.1,2.48028,3.07588,0.172572,1.55241,1.20499,0.0676058,0.0232637,0.0344637,0.00193359,32.5911,13.004,0,2108.65,-5505.14,0,0,0,25220.5,0,0,25214.1,0,0,25220.5,0,12.7494,5930,5932,36.979,25.2211,0,3.26954,-31.7053,0,0,24.2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.6,0.4,1,0.4,0,0.4,5932,34.9396,2.7262,6.5234,5932,2,1494,1494,1494,126217,698748,824965,1.56655,0.240144,0.00505732,5932,14,3390,0.00412979,0,0,0,426,1794,0.237458,0,0,0,804279,105730,0,0,25214.1,33.3398,44326.6,0,0,25214.1,36.2916,66218.5,36.2916,85731.1,36.2916,84484.8,16.9147,1.36441,1494,181,1,131844,0.00118437,8.98308e-09,-4170.57,228814,105380,30911.4,12.3645,36.2916,72062.8,0,0,30010.2,3.85265e-08,1.22567e-08,35.7002,70567.1,0,0,30346.4,34.9396,824766,126217,0,0,30346.4,34.9396,824965,126217,0,0,31118.7,3.0074,4.52222,0.212537,1.7666,1.56044,0.0733381,0.0384356,0.0737085,0.00346418,32.6936,13.0074,0,1775.62,-7131.51,0,0,0,31146.6,0,0,31118.7,0,0,31146.6,0,13.9758,5649,5651,26.8917,23.3462,0,-2.89587,-34.8194,0,0,22.3462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0.4,1,0.4,0,0.4,5932,42.2627,2.70686,6.34783,5932,2,1479,1479,1479,119515,698565,818080,2.76827,0.436098,0.0588334,5932,139,2225,0.0624719,0,0,0,841,2073,0.405692,4,0.000674309,0.680435,824965,126217,0,0,31118.7,36.4261,54122.7,0,0,31118.7,39.6232,77927,39.6232,102507,39.6232,101256,20.2349,1.91708,1479,187,1,184316,0.00159622,8.66023e-09,-2342.57,243976,122510,76937.7,30.7751,50.4344,81591.8,0,0,40418.6,5.89774e-08,1.66023e-08,50.4344,77198.9,0,0,40672.8,42.2627,818263,119515,0,0,40672.8,42.2627,818080,119515,0,0,41074.1,3.35728,5.63566,0.279721,2.88827,4.17106,0.207027,0.0755226,0.501668,0.0248998,32.8031,13.0043,0,1290.22,-6608.01,0,0,0,41141,0,0,41074.1,0,0,41141,0,16.9051,5703,5705,29.4572,16.4749,0,-24.3012,-34.5772,0,0,15.4749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
