Fluid simulation profile
dimension=2
steps=450
simulated_substeps=450
domain=64
dx=1
frame_dt=0.4
scene=6
fluid_solver=apic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=2.5
particle_frames=451
particles=5932
wall_ms=9628.555

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_04\20260628-202218\runs\APIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Diagnostics::record_step",450,2201.848,2204.519,25.84,4.892995
2,"Fluid_Simulation_2D::projection_Ap_calc",27089,2164.117,2164.117,25.40,0.079889
3,"Fluid_Simulation_2D::advect",450,1355.128,1355.128,15.90,3.011396
4,"APIC_Simulation_2D::step",450,1131.158,6316.989,13.27,2.513686
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",450,452.210,452.210,5.31,1.004911
6,"Fluid_Simulation_2D::grid_to_particle",450,265.002,265.002,3.11,0.588893
7,"Fluid_Simulation_2D::particle_to_grid",450,240.951,240.951,2.83,0.535446
8,"APIC_Simulation_2D::particle_mechanical_energy",1350,176.347,176.347,2.07,0.130627
9,"APIC_Simulation_2D::particle_kinetic_energy",1350,145.872,145.872,1.71,0.108054
10,"APIC_Simulation_2D::max_particle_speed",900,82.484,82.484,0.97,0.091649
11,"Fluid_Simulation_2D::projection_2d",450,81.660,2268.848,0.96,0.181466
12,"APIC_Simulation_2D::max_grid_speed",2700,55.190,55.190,0.65,0.020441
13,"Fluid_Simulation_2D::extrapolate_velocity",900,50.043,71.666,0.59,0.055603
14,"APIC_Simulation_2D::grid_kinetic_energy",2700,49.045,49.045,0.58,0.018165
15,"Fluid_Simulation_2D::init_marker_vectors",900,21.623,21.623,0.25,0.024026
16,"Fluid_Simulation_2D::projection_dot_product",82167,21.551,21.551,0.25,0.000262
17,"Fluid_Simulation_2D::enforce_boundary",450,10.656,10.656,0.13,0.023680
18,"APIC_Simulation_2D::divergence_stats",900,6.970,6.970,0.08,0.007744
19,"Fluid_Simulation::apply_forces_2d_settings",450,5.461,5.461,0.06,0.012135
20,"Diagnostics::fluid_measure_from",450,2.394,2.394,0.03,0.005320
21,"Fluid_Simulation_2D::setup_rhs",450,1.521,1.521,0.02,0.003379
22,"Diagnostics::bounds_from",451,0.278,0.278,0.00,0.000617
