step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.4,0.4,1,0.4,0,0.4,5932,8.64201,1.50109,2.25781,5932,2,1483,1483,1483,15119.8,733599,748719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,759972,1510.21,0,0,-385.791,2.5,524.724,0,0,-385.791,6.424,13336.8,6.424,16931.2,6.424,15612.4,3.924,0.799375,1483,174,1,76959.3,0.000733032,9.52493e-09,-278.639,217788,85007.6,23319,9.3276,9.3276,6927.11,0,0,-52093.8,4.83942e-08,7.61399e-09,9.3276,6722.43,0,0,-51331.5,8.64201,773582,15119.8,0,0,-51333.7,8.64201,748719,15119.8,0,0,-51342.6,0.287067,0.0412037,0.0161656,0,0,0,0,0,0,31.8033,13.6063,0,3937.57,-6377.23,0,0,0,-51342.6,0,0,-51342.6,0,0,-51342.6,0,3.4568,5522,5524,62.174,1.1277,0,8.6351,-0.345515,0,1,0.127704,1,63,1,0,-1,0,0,9.3276,-0.263286,0,9.3276,0.263286,0,9.33131,9.33131,-9.3276,-9.3276,0.526572,0,0,44,0
1,0.8,0.4,1,0.4,0,0.4,5932,10.348,0.954955,2.49969,5932,2,1497,1497,1497,18532.9,724515,743048,1.85648,0.742682,0.17886,5932,196,4495,0.043604,0,0,0,0,0,0,0,0,0,748719,15119.8,0,0,-51342.6,7.14017,4818.1,0,0,-51342.6,10.348,23706.9,10.348,30769.7,10.348,28621.6,12.0806,0.9211,1497,191,1,89095.9,0.000815668,9.15495e-09,-5.30198e-12,397222,131046,41020.2,16.4081,10.5482,11936.9,0,0,-3143.68,3.36114e-08,8.43262e-09,10.5482,10629.4,0,0,-2683.88,10.348,752132,18532.9,0,0,-2685.82,10.348,743048,18532.9,0,0,-2694.11,0.485336,0.117775,0.0376974,0.540189,0.145902,0.0467001,0.271189,0.0068569,0.00219475,31.8862,13.4502,0,1196.53,-3717.85,0,0,0,-2694.11,0,0,-2694.11,0,0,-2694.11,0,4.1392,5618,5620,28.9749,32.4928,0,-3.02497e-16,-10.348,0,0,27.9749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0
2,1.2,0.4,1,0.4,0,0.4,5932,14.272,1.11637,3.36706,5932,2,1483,1483,1483,33625.9,716861,750487,1.06773,0.317111,0.00623736,5932,15,1265,0.0118577,0,0,0,132,1265,0.104348,0,0,0,743048,18532.9,0,0,-2694.11,10.348,6232.44,0,0,-2694.11,14.272,22241.3,14.272,31373,14.272,30013.8,7.29508,0.845751,1483,183,1,81424.2,0.000664478,8.16069e-09,-7.79004e-12,227236,112336,36611,14.6444,14.272,18698.5,0,0,8498.48,2.70656e-08,6.90192e-09,14.272,17613.3,0,0,9134.03,14.272,758141,33625.9,0,0,9133.1,14.272,750487,33625.9,0,0,9245.91,0.397281,0.0789163,0.0139218,0.407643,0.0830865,0.0146574,0.0968661,0.00282546,0.000498445,31.9539,13.3187,0,1020.38,-4537.39,0,0,0,9245.91,0,0,9245.91,0,0,9245.91,0,5.7088,5626,5628,28.9236,31.6734,0,6.17289e-16,-14.272,0,0,27.9236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0
3,1.6,0.4,1,0.4,0,0.4,5932,18.196,1.388,4.27781,5932,2,1489,1489,1489,54276.8,709457,763734,0.934262,0.218397,0.0150034,5932,22,987,0.0222898,0,0,0,22,825,0.0266667,0,0,0,750487,33625.9,0,0,9245.91,14.272,12447.2,0,0,9245.91,18.196,29930.8,18.196,42215.5,18.196,40943.3,3.98799,0.805977,1489,182,1,77751.7,0.000777415,9.99869e-09,-5.6264e-12,224656,108395,13625.4,5.45017,18.196,30144.3,0,0,13682.8,3.03045e-08,8.05871e-09,18.196,29251.5,0,0,14852,18.196,771138,54276.8,0,0,14849.6,18.196,763734,54276.8,0,0,15194.7,0.438566,0.0961699,0.0105106,0.370644,0.0686885,0.00750707,0.0298348,0.00120637,0.000131846,32.0462,13.1915,0,1365.59,-5753.75,0,0,0,15194.7,0,0,15194.7,0,0,15194.7,0,7.2784,5626,5628,28.9236,29.1734,0,6.55858e-16,-18.196,0,0,27.9236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.4,1,0.4,0,0.4,5932,22.12,1.64008,5.17625,5932,2,1481,1481,1481,79469.7,701848,781317,0.944376,0.182444,0.0112947,5932,6,772,0.00777202,0,0,0,71,698,0.101719,0,0,0,763734,54276.8,0,0,15194.7,18.196,18509.6,0,0,15194.7,22.12,36825.2,22.12,50131.1,22.12,48858.3,3.95477,0.806216,1481,183,1,77565.6,0.000657328,8.47449e-09,-5.91991e-12,224524,108960,13975.4,5.59015,22.12,38047.2,0,0,16267.2,2.34653e-08,6.83227e-09,22.12,37120,0,0,17177.7,22.12,788927,79469.7,0,0,17178.6,22.12,781317,79469.7,0,0,17709.5,1.47224,1.08375,0.0808963,1.19565,0.714791,0.0533554,0.0246105,0.0165849,0.00123798,32.1587,13.0607,0,1667.13,-7067.93,0,0,0,17709.5,0,0,17709.5,0,0,17709.5,0,8.84801,5614,5616,28.7844,24.3521,0,0.0386613,-22.12,0,0,23.3521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.4,0.4,1,0.4,0,0.4,5932,25.6725,2.10771,5.45944,5932,2,1486,1486,1486,88403,696405,784808,1.89336,0.346806,0.121207,5932,257,3137,0.0819254,0,0,0,128,699,0.183119,0,0,0,781317,79469.7,0,0,17709.5,22.12,25849,0,0,17709.5,26.044,45332.1,26.044,60670.3,26.044,59386.2,20.8728,1.54569,1486,184,1,148960,0.00129865,8.71807e-09,855.792,243227,125085,52561,21.0244,26.044,44294.2,0,0,17351.6,4.1721e-08,1.34754e-08,25.7017,42403.1,0,0,18082.3,25.6725,790251,88403,0,0,18086,25.6725,784808,88403,0,0,18684.6,2.46025,3.02642,0.203078,1.9352,1.8725,0.125648,0.17489,0.180845,0.012135,32.2751,12.9672,0,1801.29,-6981.66,0,0,0,18684.6,0,0,18684.6,0,0,18684.6,0,10.269,5931,5933,35.9781,30.6934,0,0.454846,-25.6685,0,0,27.0219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8,0.4,1,0.4,0,0.4,5932,29.7434,2.69954,5.81421,5932,2,1493,1493,1493,100266,695786,796051,1.46095,0.251273,0.00269724,5932,4,3812,0.00104932,0,0,0,60,3141,0.0191022,0,0,0,784808,88403,0,0,18684.6,25.6659,27358.5,0,0,18684.6,29.5347,47882.5,29.5347,63840.5,29.5347,62551.2,14.5413,1.2095,1493,192,1,116836,0.000917432,7.85234e-09,2472.02,254294,131900,52712.2,21.0849,33.5688,47520.3,0,0,19739,3.38623e-08,9.49739e-09,33.5688,45958.1,0,0,20045.5,29.7434,796671,100266,0,0,20049.8,29.7434,796051,100266,0,0,20586.6,2.65583,3.52673,0.208651,1.61264,1.3003,0.0769296,0.0225893,0.091548,0.00541623,32.3877,12.9565,0,1883.83,-5998.16,0,0,0,20586.6,0,0,20586.6,0,0,20586.6,0,11.8974,5813,5815,34.6659,21.3961,0,8.16347,-28.6012,0,0,20.3961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3.2,0.4,1,0.4,0,0.4,5932,33.2877,2.77071,6.30618,5932,2,1498,1498,1498,117952,696303,814255,1.1383,0.180506,0.00151719,5932,3,1610,0.00186335,0,0,0,615,1594,0.385822,0,0,0,796051,100266,0,0,20586.6,28.472,36143.3,0,0,20586.6,32.396,57632.7,32.396,75050.7,32.396,73789.8,10.7884,1.12119,1498,184,1,108486,0.000942675,8.68933e-09,-2218.03,230502,114533,34355.6,13.7422,32.396,60862.5,0,0,22046.4,3.25361e-08,9.7424e-09,32.096,60046.7,0,0,22307.7,33.2877,813737,117952,0,0,22293.3,33.2877,814255,117952,0,0,22204.2,2.80089,3.92249,0.197269,1.67153,1.397,0.0702578,0.0229265,0.117168,0.00589259,32.4984,12.9654,0,1919.11,-6495.68,0,0,0,22204.2,0,0,22204.2,0,0,22204.2,0,13.3151,5813,5815,36.0986,20.2371,0,10.7154,-31.5159,0,0,19.2371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.6,0.4,1,0.4,0,0.4,5932,35.0812,2.67883,6.52638,5932,2,1488,1488,1488,126333,695823,822156,1.36733,0.209509,0.00556305,5932,23,1807,0.0127283,0,0,0,162,1426,0.113604,0,0,0,814255,117952,0,0,22204.2,31.729,41443,0,0,22204.2,35.653,63360.2,35.653,84925.4,35.653,83666,21.0432,1.66942,1488,181,1,160993,0.00149702,9.2987e-09,-480.797,230849,113809,52294.1,20.9176,36.7349,69214,0,0,24877.4,5.74517e-08,1.55234e-08,36.7349,66694.5,0,0,25043.3,35.0812,822636,126333,0,0,25036.8,35.0812,822156,126333,0,0,24999.1,3.31591,5.49764,0.258143,2.12656,2.26113,0.106172,0.0323668,0.167576,0.00786857,32.5907,12.9572,0,1725.27,-7005.96,0,0,0,24999.1,0,0,24999.1,0,0,24999.1,0,14.0325,5931,5933,36.7764,23.2673,0,2.49712,-34.9922,0,0,22.2673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0.4,1,0.4,0,0.4,5932,37.7263,2.58266,6.73571,5932,2,1464,1464,1464,134567,693443,828010,2.19335,0.32563,0.0568105,5932,179,2216,0.0807762,0,0,0,179,1494,0.119813,0,0,0,822156,126333,0,0,24999.1,34.9786,45972.3,0,0,24999.1,38.5628,67742.8,38.5628,91472.7,38.5628,90211.5,18.5737,1.74863,1464,185,1,167267,0.00154787,9.25393e-09,352.108,238265,114450,65734.3,26.2937,38.5628,74627.5,0,0,36632.7,6.49639e-08,1.61817e-08,37.4132,71246,0,0,37252.3,37.7263,830390,134567,0,0,37229,37.7263,828010,134567,0,0,37633.2,3.83823,7.36599,0.324709,2.13798,2.28547,0.100749,0.094909,0.295897,0.0130438,32.6773,12.9163,0,1289.23,-7743.8,0,0,0,37633.2,0,0,37633.2,0,0,37633.2,0,15.0905,5707,5709,29.7775,16.6441,0,-0.390015,-37.7243,0,0,15.6441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
