Fluid simulation profile
dimension=2
steps=450
simulated_substeps=450
domain=64
dx=1
frame_dt=0.4
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=2.5
particle_frames=451
particles=5932
wall_ms=9782.593

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_04\20260628-202218\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",24328,2457.714,2457.714,28.18,0.101024
2,"Diagnostics::record_step",450,2172.143,2174.878,24.91,4.826985
3,"Fluid_Simulation_2D::advect",450,1354.417,1354.417,15.53,3.009816
4,"APIC_Simulation_2D::step",450,1096.581,6545.123,12.58,2.436846
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",450,452.732,452.732,5.19,1.006071
6,"Fluid_Simulation_2D::grid_to_particle",450,261.595,261.595,3.00,0.581323
7,"Fluid_Simulation_2D::particle_to_grid",450,225.549,225.549,2.59,0.501220
8,"APIC_Simulation_2D::particle_mechanical_energy",1350,175.647,175.647,2.01,0.130109
9,"APIC_Simulation_2D::particle_kinetic_energy",1350,143.756,143.756,1.65,0.106486
10,"APIC_Simulation_2D::max_particle_speed",900,81.998,81.998,0.94,0.091108
11,"Fluid_Simulation_2D::projection_2d",450,79.188,2561.088,0.91,0.175974
12,"APIC_Simulation_2D::max_grid_speed",2700,54.230,54.230,0.62,0.020085
13,"Fluid_Simulation_2D::extrapolate_velocity",900,47.458,68.012,0.54,0.052731
14,"APIC_Simulation_2D::grid_kinetic_energy",2700,46.920,46.920,0.54,0.017378
15,"Fluid_Simulation_2D::projection_dot_product",73884,22.771,22.771,0.26,0.000308
16,"Fluid_Simulation_2D::init_marker_vectors",900,20.554,20.554,0.24,0.022838
17,"Fluid_Simulation_2D::enforce_boundary",450,10.644,10.644,0.12,0.023653
18,"APIC_Simulation_2D::divergence_stats",900,6.639,6.639,0.08,0.007377
19,"Fluid_Simulation::apply_forces_2d_settings",450,5.315,5.315,0.06,0.011811
20,"Diagnostics::fluid_measure_from",450,2.466,2.466,0.03,0.005479
21,"Fluid_Simulation_2D::setup_rhs",450,1.415,1.415,0.02,0.003144
22,"Diagnostics::bounds_from",451,0.270,0.270,0.00,0.000598
