step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.4,0.4,1,0.4,0,0.4,5932,9.0315,1.49955,2.25645,5932,2,1483,1483,1483,15101.6,733886,748987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760272,1510.56,0,0,-408.417,2.5,525.093,0,0,-408.417,6.424,13337.2,6.424,16931.5,6.424,15612.5,3.924,0.79936,1483,174,1,76957.9,0.000733982,9.53746e-09,-265.851,217784,85006.6,23319.1,9.32763,9.32763,6927.32,0,0,-52062,4.80999e-08,7.62386e-09,9.32763,6722.9,0,0,-51387.6,9.0315,773863,15101.6,0,0,-51391.8,9.0315,748987,15101.6,0,0,-51401.2,0.288322,0.0415647,0.0163269,0,0,0,0,0,0,31.8035,13.6113,0,3936.24,-6379.6,0,0,0,-51401.2,0,0,-51401.2,0,0,-51401.2,0,3.6126,5522,5524,62.3553,1.20571,0,9.0145,-0.553786,0,1,0.205712,1,63,1,0,-1,0,0,9.04832,-0.4241,0,9.04832,0.4241,0,9.05825,9.05825,-9.04832,-9.04832,0.8482,0,0,41,0
1,0.8,0.4,1,0.4,0,0.4,5932,10.7847,1.02629,2.54553,5932,2,1496,1496,1496,19218.9,724038,743256,1.85573,0.729014,0.159305,5932,166,4452,0.0372866,0,0,0,0,0,0,0,0,0,748987,15101.6,0,0,-51401.2,6.96083,4788.66,0,0,-51401.2,10.348,23654.7,10.348,30763.7,10.348,28612,12.0195,0.920657,1496,191,1,89023.3,0.000693667,7.79197e-09,-3.26999e-12,389744,129081,45036.5,18.0146,12.0445,12169.3,0,0,-5562.62,2.69111e-08,7.17373e-09,12.0445,10961.8,0,0,-5074.59,10.7847,753104,19218.9,0,0,-5079.85,10.7847,743256,19218.9,0,0,-5119.11,0.570787,0.162899,0.0502796,0.616981,0.190333,0.0587472,0.1526,0.00948522,0.00292766,31.9119,13.442,0,1562.04,-3932.11,0,0,0,-5119.11,0,0,-5119.11,0,0,-5119.11,0,4.31388,5595,5597,62.1529,19.1557,0,10.6245,1.85175,0,1,0.84706,1,63,19,0,-1,0,0,6.90556,4.2559,0,6.90556,-4.2559,0,8.11168,8.11168,-6.90556,-6.90556,8.5118,0,0,30,0
2,1.2,0.4,1,0.4,0,0.4,5932,14.272,1.12778,3.35901,5932,2,1480,1480,1480,33465.2,716431,749896,1.20572,0.358953,0.00842886,5932,36,1551,0.0232108,0,0,0,169,1551,0.108962,0,0,0,743256,19218.9,0,0,-5119.11,10.348,6361.33,0,0,-5119.11,14.272,22568.6,14.272,31792.1,14.272,30367.1,8.58187,0.862511,1480,184,1,82953.6,0.000690755,8.327e-09,-5.08586e-12,231634,113849,32669.2,13.0677,14.272,18744.7,0,0,9467.75,2.53077e-08,7.18213e-09,14.272,17545.4,0,0,10240.2,14.272,757503,33465.2,0,0,10236.4,14.272,749896,33465.2,0,0,10414.6,0.210314,0.022116,0.00392025,0.571913,0.163542,0.0289893,0.0179843,0.000835991,0.000148187,31.9873,13.3113,0,1110.81,-4553.86,0,0,0,10414.6,0,0,10414.6,0,0,10414.6,0,5.7088,5612,5614,28.2006,29.0295,0,-1.54267e-16,-14.272,0,0,27.2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1.6,0.4,1,0.4,0,0.4,5932,18.196,1.40475,4.27215,5932,2,1484,1484,1484,54133.1,708948,763081,0.933328,0.218468,0.0111261,5932,2,1092,0.0018315,0,0,0,47,844,0.0556872,0,0,0,749896,33465.2,0,0,10414.6,14.272,12254.4,0,0,10414.6,18.196,29724.6,18.196,42294.4,18.196,41026.8,3.93237,0.803361,1484,183,1,77369.2,0.000723604,9.35262e-09,-8.5293e-12,224517,108309,17603.2,7.04128,18.196,30245.4,0,0,14878.5,2.56965e-08,7.51353e-09,18.196,29264.5,0,0,15939.6,18.196,770564,54133.1,0,0,15935.2,18.196,763081,54133.1,0,0,16319,0.325103,0.052846,0.00579096,0.228511,0.0261087,0.00286104,0.021492,0.00255657,0.000280153,32.0905,13.1827,0,1524.8,-5775.96,0,0,0,16319,0,0,16319,0,0,16319,0,7.2784,5693,5695,30.4865,26.6444,0,8.67038e-16,-18.196,0,0,25.6444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,0.4,1,0.4,0,0.4,5932,22.12,1.66554,5.17871,5932,2,1476,1476,1476,79545.3,701537,781082,0.937668,0.181062,0.0114633,5932,1,818,0.00122249,0,0,0,24,745,0.0322148,0,0,0,763081,54133.1,0,0,16319,18.196,18518.1,0,0,16319,22.12,36809.3,22.12,50319.3,22.12,49051.7,3.93168,0.805126,1476,182,1,77329.9,0.000690576,8.93026e-09,-9.82723e-12,224428,108993,14353,5.7412,22.12,38258.9,0,0,19400.6,2.73215e-08,7.18999e-09,22.12,37258,0,0,20409.9,22.12,788494,79545.3,0,0,20404.4,22.12,781082,79545.3,0,0,21000.1,1.45018,1.05152,0.0784157,1.22448,0.749675,0.0559061,0.0274628,0.00211525,0.000157742,32.2132,13.0554,0,1833.38,-7030.06,0,0,0,21000.1,0,0,21000.1,0,0,21000.1,0,8.848,5619,5621,28.6132,25.2139,0,8.7105e-16,-22.12,0,0,24.2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2.4,0.4,1,0.4,0,0.4,5932,25.6973,2.10785,5.47026,5932,2,1480,1480,1480,88753.9,696232,784986,1.95753,0.357849,0.107889,5932,196,2998,0.0653769,0,0,0,106,725,0.146207,0,0,0,781082,79545.3,0,0,21000.1,22.12,25989.8,0,0,21000.1,26.044,45376.6,26.044,60676.5,26.044,59399.3,19.1609,1.50527,1480,185,1,144772,0.00127285,8.79209e-09,804.485,240164,122888,59674.9,23.87,26.044,44752.2,0,0,23171.8,4.30349e-08,1.32345e-08,25.7222,43019.4,0,0,23956.7,25.6973,790291,88753.9,0,0,23971.1,25.6973,784986,88753.9,0,0,24667.3,2.37114,2.81116,0.187888,1.95702,1.91496,0.127989,0.178848,0.329781,0.0220414,32.3447,12.9642,0,1983.48,-7025.76,0,0,0,24667.3,0,0,24667.3,0,0,24667.3,0,10.2789,5649,5651,28.0485,30.9949,0,-0.325733,-25.6953,0,0,27.0485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.8,0.4,1,0.4,0,0.4,5932,31.47,2.83757,5.77322,5932,2,1487,1487,1487,98856.8,695185,794041,1.74693,0.302591,0.0252866,5932,56,3591,0.0155945,0,0,0,48,2735,0.0175503,0,0,0,784986,88753.9,0,0,24667.3,25.6912,27500.9,0,0,24667.3,29.5579,48135.6,29.5579,64551.8,29.5579,63281.9,16.7619,1.1695,1487,189,1,112745,0.00107417,9.52749e-09,1108.58,256699,131746,54358.5,21.7434,33.1611,48018.4,0,0,28735.9,3.75747e-08,1.11424e-08,33.1611,46702.3,0,0,29370.8,31.47,795088,98856.8,0,0,29383.7,31.47,794041,98856.8,0,0,29816.8,2.55725,3.26976,0.196205,2.00277,2.00554,0.120344,0.0477073,0.170176,0.0102116,32.4399,12.9462,0,1574.59,-6201.31,0,0,0,29816.8,0,0,29816.8,0,0,29816.8,0,12.588,5818,5820,35.8346,22.3486,0,8.9874,-30.1593,0,0,21.3486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3.2,0.4,1,0.4,0,0.4,5932,31.3512,3.08494,5.98748,5932,2,1496,1496,1496,106331,700338,806669,1.48445,0.247925,0.0187121,5932,95,2826,0.0336164,0,0,0,514,2814,0.182658,0,0,0,794041,98856.8,0,0,29816.8,29.3034,35678.3,0,0,29816.8,32.7115,57164.8,32.7115,73568.6,32.7115,72305.3,15.4034,1.10459,1496,187,1,106808,0.00106388,9.96065e-09,1465.93,254436,131773,52069.9,20.828,32.7115,57044.7,0,0,25120.3,3.74841e-08,1.10024e-08,31.7475,55536.7,0,0,25555.8,31.3512,801515,106331,0,0,25571.4,31.3512,806669,106331,0,0,25198,2.69754,3.63836,0.202978,1.77624,1.57752,0.0880068,0.0445044,0.14408,0.00803794,32.5416,13.0348,0,1802.01,-4865.97,0,0,0,25198,0,0,25198,0,0,25198,0,12.5405,5649,5651,27.4612,26.0687,0,-2.09852,-31.2809,0,0,25.0687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3.6,0.4,1,0.4,0,0.4,5932,33.6942,2.80658,6.26354,5932,2,1489,1489,1489,116362,702206,818568,1.82084,0.290705,0.00337154,5932,9,2861,0.00314575,0,0,0,1350,2141,0.630546,0,0,0,806669,106331,0,0,25198,31.2809,41047.9,0,0,25198,35.2049,62389.6,35.2049,80630.4,35.2049,79416.7,15.0952,1.29015,1489,181,1,124459,0.00121028,9.72432e-09,-1670.25,227604,105873,36750.1,14.7,35.2049,66545.2,0,0,28561.5,4.47582e-08,1.25458e-08,34.6418,65197.4,0,0,28858.4,33.6942,816700,116362,0,0,28862.7,33.6942,818568,116362,0,0,29215.2,2.36948,2.80722,0.143109,1.94813,1.89761,0.0967379,0.0306811,0.183923,0.00937621,32.6247,13.0669,0,1403.48,-6292.87,0,0,0,29215.2,0,0,29215.2,0,0,29215.2,0,13.4777,5649,5651,27.1088,23.6291,0,-2.53169,-33.599,0,0,22.6291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4,0.4,1,0.4,0,0.4,5932,36.2639,2.49808,6.45319,5932,2,1466,1466,1466,123515,698471,821987,1.89171,0.293143,0.0682738,5932,115,4242,0.0271099,0,0,0,169,2607,0.0648255,6,0.00101146,4.02008,818568,116362,0,0,29215.2,33.5193,47642.9,0,0,29215.2,37.385,70272.6,37.385,93291.2,37.385,92065.1,15.3582,1.45692,1466,181,1,139458,0.00131509,9.43001e-09,352.948,220358,100151,42512.6,17.005,37.385,79608.4,0,0,27162.3,5.65628e-08,1.37388e-08,36.6193,77619.4,0,0,27407.8,36.2639,825721,123515,0,0,27406.4,36.2639,821987,123515,0,0,27441.2,3.07613,4.73129,0.227228,2.09236,2.18899,0.10513,0.103506,0.173458,0.00833058,32.6689,13.0027,0,949.2,-8003.31,0,0,0,27441.2,0,0,27441.2,0,0,27441.2,0,14.5056,5649,5651,26.767,21.1778,0,-3.23024,-36.1197,0,0,20.1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
