Fluid simulation profile
dimension=2
steps=450
simulated_substeps=450
domain=64
dx=1
frame_dt=0.4
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0
adaptive=false
diagnostics=true
particle_export=true
particle_fps=2.5
particle_frames=451
particles=5932
wall_ms=10445.496

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_04\20260628-202218\runs\PIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",30356,3147.442,3147.442,33.41,0.103684
2,"Diagnostics::record_step",450,2132.589,2135.350,22.64,4.739086
3,"Fluid_Simulation_2D::advect",450,1368.811,1368.811,14.53,3.041802
4,"APIC_Simulation_2D::step",450,1101.654,7284.046,11.70,2.448121
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",450,450.395,450.395,4.78,1.000877
6,"Fluid_Simulation_2D::grid_to_particle",450,260.968,260.968,2.77,0.579928
7,"Fluid_Simulation_2D::particle_to_grid",450,231.112,231.112,2.45,0.513582
8,"APIC_Simulation_2D::particle_mechanical_energy",1350,174.463,174.463,1.85,0.129232
9,"APIC_Simulation_2D::particle_kinetic_energy",1350,144.145,144.145,1.53,0.106774
10,"Fluid_Simulation_2D::projection_2d",450,93.082,3271.331,0.99,0.206849
11,"APIC_Simulation_2D::max_particle_speed",900,84.995,84.995,0.90,0.094439
12,"APIC_Simulation_2D::max_grid_speed",2700,55.082,55.082,0.58,0.020401
13,"Fluid_Simulation_2D::extrapolate_velocity",900,49.169,69.566,0.52,0.054632
14,"APIC_Simulation_2D::grid_kinetic_energy",2700,47.027,47.027,0.50,0.017418
15,"Fluid_Simulation_2D::projection_dot_product",91968,29.135,29.135,0.31,0.000317
16,"Fluid_Simulation_2D::init_marker_vectors",900,20.397,20.397,0.22,0.022664
17,"Fluid_Simulation_2D::enforce_boundary",450,11.118,11.118,0.12,0.024707
18,"APIC_Simulation_2D::divergence_stats",900,8.015,8.015,0.09,0.008906
19,"Fluid_Simulation::apply_forces_2d_settings",450,5.363,5.363,0.06,0.011917
20,"Diagnostics::fluid_measure_from",450,2.466,2.466,0.03,0.005481
21,"Fluid_Simulation_2D::setup_rhs",450,1.673,1.673,0.02,0.003718
22,"Diagnostics::bounds_from",451,0.296,0.296,0.00,0.000657
