Fluid simulation profile
dimension=2
steps=450
simulated_substeps=450
domain=64
dx=1
frame_dt=0.4
scene=6
fluid_solver=polypic
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=2.5
particle_frames=451
particles=5932
wall_ms=10602.955

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_dt_04\20260628-202218\runs\POLYPIC
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Diagnostics::record_step",450,2362.350,2365.143,24.74,5.249666
2,"Fluid_Simulation_2D::projection_Ap_calc",28121,2180.085,2180.085,22.83,0.077525
3,"APIC_Simulation_2D::step",450,1609.324,7184.380,16.85,3.576276
4,"Fluid_Simulation_2D::advect",450,1361.376,1361.376,14.26,3.025280
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",450,465.740,465.740,4.88,1.034977
6,"Fluid_Simulation_2D::grid_to_particle",450,449.888,449.888,4.71,0.999752
7,"Fluid_Simulation_2D::particle_to_grid",450,402.522,402.522,4.22,0.894493
8,"APIC_Simulation_2D::particle_mechanical_energy",1350,176.715,176.715,1.85,0.130900
9,"APIC_Simulation_2D::particle_kinetic_energy",1350,145.659,145.659,1.53,0.107896
10,"APIC_Simulation_2D::max_particle_speed",900,87.864,87.864,0.92,0.097627
11,"Fluid_Simulation_2D::projection_2d",450,83.912,2288.562,0.88,0.186470
12,"APIC_Simulation_2D::max_grid_speed",2700,55.650,55.650,0.58,0.020611
13,"Fluid_Simulation_2D::extrapolate_velocity",900,49.451,70.105,0.52,0.054945
14,"APIC_Simulation_2D::grid_kinetic_energy",2700,48.501,48.501,0.51,0.017963
15,"Fluid_Simulation_2D::projection_dot_product",85263,22.881,22.881,0.24,0.000268
16,"Fluid_Simulation_2D::init_marker_vectors",900,20.654,20.654,0.22,0.022949
17,"Fluid_Simulation_2D::enforce_boundary",450,10.431,10.431,0.11,0.023180
18,"APIC_Simulation_2D::divergence_stats",900,6.713,6.713,0.07,0.007459
19,"Fluid_Simulation::apply_forces_2d_settings",450,5.328,5.328,0.06,0.011839
20,"Diagnostics::fluid_measure_from",450,2.490,2.490,0.03,0.005534
21,"Fluid_Simulation_2D::setup_rhs",450,1.686,1.686,0.02,0.003746
22,"Diagnostics::bounds_from",451,0.304,0.304,0.00,0.000675
