Fluid simulation profile
dimension=2
steps=1800
simulated_substeps=1800
domain=64
dx=1
frame_dt=0.1
scene=6
fluid_solver=flip
polypic_modes=4
jitter_seed=0
flip_percent=0.95
adaptive=false
diagnostics=true
particle_export=true
particle_fps=10
particle_frames=1801
particles=5932
wall_ms=123166.467

Exported diagnostics to D:\Arbeitsplatz\Universität\Master_Thesis\Orchestrator\outputs\settling_sweep_flip\20260628-202342\runs\FLIP_095
rank,function,calls,exclusive_ms,inclusive_ms,exclusive_percent,avg_exclusive_ms
1,"Fluid_Simulation_2D::projection_Ap_calc",303637,91543.329,91543.329,77.22,0.301489
2,"Diagnostics::record_step",1800,8694.010,8705.128,7.33,4.830005
3,"Fluid_Simulation_2D::advect",1800,5425.979,5425.979,4.58,3.014433
4,"APIC_Simulation_2D::step",1800,4685.574,109848.286,3.95,2.603097
5,"APIC_Simulation_2D::update_particle_grid_residual_diagnostics",1800,1763.647,1763.647,1.49,0.979804
6,"Fluid_Simulation_2D::projection_2d",1800,1239.239,93472.917,1.05,0.688466
7,"Fluid_Simulation_2D::grid_to_particle",1800,1091.059,1091.059,0.92,0.606144
8,"Fluid_Simulation_2D::particle_to_grid",1800,931.247,931.247,0.79,0.517359
9,"APIC_Simulation_2D::particle_mechanical_energy",5400,731.418,731.418,0.62,0.135448
10,"Fluid_Simulation_2D::projection_dot_product",914511,669.527,669.527,0.56,0.000732
11,"APIC_Simulation_2D::particle_kinetic_energy",5400,590.444,590.444,0.50,0.109342
12,"APIC_Simulation_2D::max_particle_speed",3600,378.734,378.734,0.32,0.105204
13,"APIC_Simulation_2D::max_grid_speed",10800,225.482,225.482,0.19,0.020878
14,"APIC_Simulation_2D::grid_kinetic_energy",10800,191.622,191.622,0.16,0.017743
15,"Fluid_Simulation_2D::extrapolate_velocity",3600,169.605,256.779,0.14,0.047112
16,"Fluid_Simulation_2D::init_marker_vectors",3600,87.174,87.174,0.07,0.024215
17,"Fluid_Simulation_2D::enforce_boundary",1800,41.753,41.753,0.04,0.023196
18,"APIC_Simulation_2D::divergence_stats",3600,38.818,38.818,0.03,0.010783
19,"Fluid_Simulation::apply_forces_2d_settings",1800,22.814,22.814,0.02,0.012674
20,"Fluid_Simulation_2D::setup_rhs",1800,20.822,20.822,0.02,0.011568
21,"Diagnostics::fluid_measure_from",1800,9.881,9.881,0.01,0.005490
22,"Diagnostics::bounds_from",1801,1.238,1.238,0.00,0.000687
