step,time,dt,solver_substeps,frame_dt,adaptive_timestep,target_dt,particle_count,max_speed,mean_speed,rms_speed,total_mass,fluid_measure_dimension,fluid_cell_count,fluid_area_estimate,fluid_volume_estimate,kinetic_energy,potential_energy,total_energy,velocity_delta_rms,ringing_index,velocity_reversal_fraction,ringing_particle_count,strong_reversal_count,active_ringing_candidate_count,strong_reversal_fraction,oscillating_particle_count,oscillating_particle_fraction,oscillation_velocity_delta_rms,alternating_acceleration_count,active_acceleration_candidate_count,alternating_acceleration_fraction,strict_ringing_particle_count,strict_ringing_particle_fraction,strict_ringing_velocity_delta_rms,stage_before_step_particle_energy,stage_before_step_particle_kinetic_energy,stage_before_step_particle_angular_momentum_x,stage_before_step_particle_angular_momentum_y,stage_before_step_particle_angular_momentum_z,stage_after_p2g_max_grid_speed,stage_after_p2g_grid_kinetic_energy,stage_after_p2g_grid_angular_momentum_x,stage_after_p2g_grid_angular_momentum_y,stage_after_p2g_grid_angular_momentum_z,stage_after_forces_max_grid_speed,stage_after_forces_grid_kinetic_energy,stage_after_first_extrapolate_max_grid_speed,stage_after_first_extrapolate_grid_kinetic_energy,stage_after_boundary_max_grid_speed,stage_after_boundary_grid_kinetic_energy,stage_before_projection_max_divergence,stage_before_projection_rms_divergence,projection_fluid_cell_count,projection_iterations,projection_converged,projection_initial_residual,projection_final_residual,projection_residual_ratio,pressure_min,pressure_max,pressure_mean,max_pressure_gradient,max_projection_velocity_delta,stage_after_projection_max_grid_speed,stage_after_projection_grid_kinetic_energy,stage_after_projection_grid_angular_momentum_x,stage_after_projection_grid_angular_momentum_y,stage_after_projection_grid_angular_momentum_z,stage_after_projection_max_divergence,stage_after_projection_rms_divergence,stage_after_second_extrapolate_max_grid_speed,stage_after_second_extrapolate_grid_kinetic_energy,stage_after_second_extrapolate_grid_angular_momentum_x,stage_after_second_extrapolate_grid_angular_momentum_y,stage_after_second_extrapolate_grid_angular_momentum_z,stage_after_g2p_max_particle_speed,stage_after_g2p_particle_energy,stage_after_g2p_particle_kinetic_energy,stage_after_g2p_particle_angular_momentum_x,stage_after_g2p_particle_angular_momentum_y,stage_after_g2p_particle_angular_momentum_z,stage_after_advect_max_particle_speed,stage_after_advect_particle_energy,stage_after_advect_particle_kinetic_energy,stage_after_advect_particle_angular_momentum_x,stage_after_advect_particle_angular_momentum_y,stage_after_advect_particle_angular_momentum_z,stage_after_advect_grid_residual_rms,stage_after_advect_grid_residual_energy_per_mass,stage_after_advect_grid_residual_energy_fraction,stage_after_advect_grid_residual_delta_rms,stage_after_advect_grid_residual_delta_energy_per_mass,stage_after_advect_grid_residual_delta_energy_fraction,stage_after_advect_grid_residual_reversal_fraction,stage_after_advect_grid_residual_reversal_energy_per_mass,stage_after_advect_grid_residual_reversal_energy_fraction,center_of_mass_x,center_of_mass_y,center_of_mass_z,total_momentum_x,total_momentum_y,total_momentum_z,orbital_angular_momentum_x,orbital_angular_momentum_y,orbital_angular_momentum_z,represented_angular_momentum_x,represented_angular_momentum_y,represented_angular_momentum_z,core_angular_momentum_x,core_angular_momentum_y,core_angular_momentum_z,core_radius,cfl,cfl_particle_index,cfl_particle_entity,cfl_particle_position_x,cfl_particle_position_y,cfl_particle_position_z,cfl_particle_velocity_x,cfl_particle_velocity_y,cfl_particle_velocity_z,cfl_particle_near_boundary,cfl_particle_boundary_distance,cfl_particle_boundary_collision,cfl_boundary_cell_x,cfl_boundary_cell_y,cfl_boundary_cell_z,cfl_boundary_normal_x,cfl_boundary_normal_y,cfl_boundary_normal_z,cfl_boundary_velocity_before_x,cfl_boundary_velocity_before_y,cfl_boundary_velocity_before_z,cfl_boundary_velocity_after_x,cfl_boundary_velocity_after_y,cfl_boundary_velocity_after_z,cfl_boundary_speed_before,cfl_boundary_speed_after,cfl_boundary_normal_velocity_before,cfl_boundary_normal_velocity_after,cfl_boundary_impulse,invalid_count,out_of_bounds_count,boundary_collision_count,max_poly_coeff
0,0.1,0.1,1,0.1,0,0.1,5932,3.481,0.576931,0.968731,5932,2,1483,1483,1483,2783.41,756485,759268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,760100,1508.51,0,0,-339.436,2.5,525.2,0,0,-339.436,3.481,1487.83,3.481,2072.15,3.481,1992.5,0.981,0.212641,1483,172,1,81887.4,0.000687572,8.39656e-09,-6750.9,217601,86816.4,23411,2.3411,3.481,1406.82,0,0,-12619.8,6.2987e-09,1.78545e-09,3.481,1370.83,0,0,-12472.6,3.481,761375,2783.41,0,0,-12473.2,3.481,759268,2783.41,0,0,-12473.1,0.0135993,9.247e-05,0.000197072,0,0,0,0,0,0,31.5438,13.9996,0,896.013,-2147.07,0,0,0,-12473.1,0,0,-12473.1,0,0,-12473.1,0,0.3481,5804,5806,32.1271,43.9445,0,-1.92708e-16,-3.481,0,0,19.0555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2,0.1,1,0.1,0,0.1,5932,4.462,0.866436,1.3587,5932,2,1496,1496,1496,5475.45,753051,758527,0.470307,0.346144,0.0138233,5932,1,4492,0.000222618,0,0,0,0,0,0,0,0,0,759268,2783.41,0,0,-12473.1,3.481,1010.15,0,0,-12473.1,4.462,2356.33,4.462,3293.22,4.462,3148.01,3.46994,0.221509,1496,175,1,85675.8,0.000794819,9.27705e-09,-5.76854e-12,219754,84608.6,39700,3.97,4.53369,2595.33,0,0,-24780.1,8.45384e-09,2.05495e-09,4.53369,2622.65,0,0,-24492,4.462,761960,5475.45,0,0,-24492.8,4.462,758527,5475.45,0,0,-24493.7,0.034111,0.00058178,0.00063029,0.0312553,0.000488446,0.000529173,0.166251,0.000203843,0.000220839,31.576,13.9406,0,1895.38,-3500.89,0,0,0,-24493.7,0,0,-24493.7,0,0,-24493.7,0,0.4462,5617,5619,28.1703,37.043,0,-7.88019e-17,-4.462,0,0,25.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.3,0.1,1,0.1,0,0.1,5932,7.24026,0.932659,1.5709,5932,2,1497,1497,1497,7319.31,749602,756921,0.573608,0.365145,0.00286581,5932,3,1850,0.00162162,0,0,0,523,1850,0.282703,0,0,0,758527,5475.45,0,0,-24493.7,4.462,1858.93,0,0,-24493.7,5.443,3553.4,5.443,4859.2,5.443,4608.05,4.7984,0.305259,1497,186,1,118108,0.00107462,9.09861e-09,-1.69135e-11,373196,110070,100389,10.0389,8.10134,3544.04,0,0,-19984.9,1.06611e-08,2.77743e-09,8.10134,3567.45,0,0,-19791.5,7.24026,760370,7319.31,0,0,-19793.2,7.24026,756921,7319.31,0,0,-19793.7,0.0905864,0.00410295,0.00332527,0.0943128,0.00444746,0.00360448,0.0514968,0.00109751,0.000889489,31.6113,13.8813,0,2061.01,-3522.22,0,0,0,-19793.7,0,0,-19793.7,0,0,-19793.7,0,0.724026,5555,5557,62.5193,9.50494,0,7.1684,1.01753,0,1,0.480652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.4,0.1,1,0.1,0,0.1,5932,6.45884,0.726949,1.61541,5932,2,1507,1507,1507,7739.96,747073,754813,0.743667,0.460357,0.0284895,5932,23,4357,0.00527886,0,0,0,639,1911,0.33438,0,0,0,756921,7319.31,0,0,-19793.7,5.443,2558.39,0,0,-19793.7,6.424,4299.59,6.424,6080.7,6.424,5830.8,7.78316,0.357811,1507,190,1,138903,0.00129971,9.35697e-09,-1.0174e-11,425973,143871,97883.9,9.78839,6.81811,4359.93,0,0,-7288.36,1.25072e-08,3.34803e-09,6.81811,4311.49,0,0,-7064.19,6.45884,757342,7739.96,0,0,-7071.01,6.45884,754813,7739.96,0,0,-7075.58,0.121028,0.00732388,0.00561312,0.145204,0.0105421,0.00807956,0.102815,0.00149538,0.00114608,31.6277,13.8379,0,958.424,-2592.05,0,0,0,-7075.58,0,0,-7075.58,0,0,-7075.58,0,0.645884,5587,5589,62.4653,17.7123,0,6.1039,2.11164,0,1,0.534702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.5,0.1,1,0.1,0,0.1,5932,7.405,0.686778,1.78516,5932,2,1504,1504,1504,9452.01,744562,754014,0.412352,0.230989,0.00488874,5932,2,2846,0.000702741,0,0,0,39,2846,0.0137034,0,0,0,754813,7739.96,0,0,-7075.58,6.424,2663.23,0,0,-7075.58,7.405,4132.71,7.405,6189.02,7.405,6000.17,6.5146,0.333511,1504,192,1,129341,0.00125703,9.71874e-09,-1.16271e-11,266014,123393,93149.6,9.31496,7.405,5083.96,0,0,-3133.84,1.18988e-08,3.24131e-09,7.405,5024.23,0,0,-3129.28,7.405,756525,9452.01,0,0,-3130.44,7.405,754014,9452.01,0,0,-3132.7,0.0983113,0.00483256,0.00303287,0.10455,0.0054654,0.00343004,0.0534569,0.000540655,0.00033931,31.6362,13.7947,0,492.749,-2566.65,0,0,0,-3132.7,0,0,-3132.7,0,0,-3132.7,0,0.7405,5795,5797,32.5902,39.0799,0,-1.89754e-16,-7.405,0,0,23.9201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.6,0.1,1,0.1,0,0.1,5932,8.386,0.713521,1.99635,5932,2,1509,1509,1509,11820.8,741844,753665,0.288032,0.144279,0.000505732,5932,0,828,0,0,0,0,6,818,0.00733496,0,0,0,754014,9452.01,0,0,-3132.7,7.405,3483.77,0,0,-3132.7,8.386,4982.34,8.386,7445.7,8.386,7317.95,6.91802,0.281841,1509,187,1,109484,0.00108254,9.88772e-09,-1.28457e-11,235400,114419,73552.8,7.35528,8.386,6567.49,0,0,-1679.85,1.2747e-08,2.78677e-09,8.386,6512.55,0,0,-1577.53,8.386,756383,11820.8,0,0,-1580.33,8.386,753665,11820.8,0,0,-1583.32,0.0941838,0.00443529,0.00222576,0.086123,0.00370859,0.00186108,0.0179971,0.00114272,0.000573449,31.6424,13.748,0,364.357,-2778.28,0,0,0,-1583.32,0,0,-1583.32,0,0,-1583.32,0,0.8386,5648,5650,28.0498,41.7763,0,-9.14233e-16,-8.386,0,0,21.2237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.7,0.1,1,0.1,0,0.1,5932,9.367,0.734134,2.20703,5932,2,1511,1511,1511,14447.3,738888,753335,0.291877,0.132249,0.00472016,5932,4,719,0.00556328,0,0,0,0,719,0,0,0,0,753665,11820.8,0,0,-1583.32,8.386,4441.57,0,0,-1583.32,9.367,6023.08,9.367,9087.63,9.367,8949.99,5.62689,0.283484,1511,185,1,110195,0.00101424,9.20404e-09,-2.56048e-11,235160,114281,57885.5,5.78855,9.367,8197.65,0,0,-290.862,8.22226e-09,2.6092e-09,9.367,8112.22,0,0,-288.471,9.367,756291,14447.3,0,0,-289.928,9.367,753335,14447.3,0,0,-290.302,0.0818284,0.00334795,0.00137465,0.0626423,0.00196203,0.000805599,0.00980043,6.28956e-05,2.58246e-05,31.6456,13.6972,0,185.324,-3014.66,0,0,0,-290.302,0,0,-290.302,0,0,-290.302,0,0.9367,5822,5824,33.5201,33.9984,0,2.86757e-16,-9.367,0,0,29.0016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.8,0.1,1,0.1,0,0.1,5932,10.348,0.789074,2.43123,5932,2,1511,1511,1511,17531.7,735626,753157,0.231455,0.0952007,0.00118004,5932,3,424,0.00707547,0,0,0,6,412,0.0145631,0,0,0,753335,14447.3,0,0,-290.302,9.367,5418.99,0,0,-290.302,10.348,7064.29,10.348,10651.5,10.348,10570.2,1.33541,0.206683,1511,180,1,80340.9,0.000771299,9.60033e-09,-2.34889e-11,225687,110302,20185.1,2.01851,10.348,9883.74,0,0,19.5743,8.29358e-09,1.98422e-09,10.348,9833.59,0,0,20.7883,10.348,756420,17531.7,0,0,20.5786,10.348,753157,17531.7,0,0,20.5378,0.0704224,0.00247965,0.000839014,0.029027,0.000421282,0.000142545,0.00570207,2.93876e-05,9.94357e-06,31.6491,13.6412,0,212.085,-3326.79,0,0,0,20.5378,0,0,20.5378,0,0,20.5378,0,1.0348,5820,5822,33.2323,32.5584,0,5.07024e-16,-10.348,0,0,29.7677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.9,0.1,1,0.1,0,0.1,5932,11.329,0.847388,2.65677,5932,2,1513,1513,1513,20935.3,732055,752990,0.229704,0.08646,0.000168577,5932,0,400,0,0,0,0,0,381,0,0,0,0,753157,17531.7,0,0,20.5378,10.348,6574.21,0,0,20.5378,11.329,8311.92,11.329,12556.9,11.329,12479.3,0.987668,0.20038,1513,179,1,77942.3,0.000733211,9.4071e-09,-1.69145e-11,225784,110092,12597.8,1.25978,11.329,11795.2,0,0,296.232,7.19472e-09,1.88499e-09,11.329,11746.5,0,0,300.298,11.329,756561,20935.3,0,0,300.337,11.329,752990,20935.3,0,0,300.291,0.0667431,0.00222732,0.00063111,0.0119574,7.14894e-05,2.02565e-05,0.0033856,2.97361e-07,8.4257e-08,31.6534,13.5798,0,255.013,-3641.14,0,0,0,300.291,0,0,300.291,0,0,300.291,0,1.1329,5767,5769,31.6901,38.1592,0,1.4774e-16,-11.329,0,0,24.8408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,0.1,1,0.1,0,0.1,5932,12.31,0.906746,2.88301,5932,2,1512,1512,1512,24652.6,728177,752829,0.229446,0.0795857,0.00134862,5932,1,367,0.0027248,0,0,0,0,360,0,0,0,0,752990,20935.3,0,0,300.291,11.329,7849.46,0,0,300.291,12.31,9680.64,12.31,14428,12.31,14350.8,0.984531,0.199574,1512,181,1,77603.4,0.000723444,9.32232e-09,-2.97084e-11,225701,109999,12386.4,1.23864,12.31,13667.4,0,0,579.183,6.43468e-09,1.8605e-09,12.31,13617.3,0,0,586.352,12.31,756708,24652.6,0,0,586.623,12.31,752829,24652.6,0,0,586.581,0.0647699,0.00209757,0.000504725,0.00961769,4.625e-05,1.11288e-05,0.00302922,1.06405e-06,2.56036e-07,31.6585,13.5131,0,301.063,-3955.08,0,0,0,586.581,0,0,586.581,0,0,586.581,0,1.231,5670,5672,29.5707,32.1597,0,-1.78666e-16,-12.31,0,0,28.5707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
